10.1007/978-3-642-11865-4	null
10.1007/978-3-642-11925-5_6	0302-9743
10.1007/978-3-642-12026-8_29	0302-9743
10.1007/978-3-642-12041-1_2	null
10.1007/978-3-642-12087-9	null
10.1007/978-3-642-12090-9_10	1860-949X
10.1007/978-3-642-12098-5_34	0302-9743
10.1007/978-3-642-12116-6	0302-9743
10.1007/978-3-642-12116-6_4	0302-9743
10.1007/978-3-642-12142-5_3	1612-3018
10.1007/978-3-642-12148-7	0302-9743
10.1007/978-3-642-12156-2_20	0302-9743
10.1007/978-3-642-12165-4_32	0302-9743
10.1007/978-3-642-12165-4_36	0302-9743
10.1007/978-3-642-12211-8_16	0302-9743
10.1007/978-3-642-12233-0_4	2190-1635
10.1007/978-3-642-12239-2_50	0302-9743
10.1007/978-3-642-12257-6	null
10.1007/978-3-642-12289-7_11	1863-2246
10.1007/978-3-642-12356-6	0340-1022
10.1007/978-3-642-12402-0	2193-7338
10.1007/978-3-642-12405-1_6	null
10.1007/978-3-642-12416-7_5	null
10.1007/978-3-642-12439-6_2	0302-9743
10.1007/978-3-642-12459-4_15	0302-9743
10.1007/978-3-642-12476-1	0302-9743
10.1007/978-3-642-12476-1_3	0302-9743
10.1007/978-3-642-12538-6_6	1860-949X
10.1007/978-3-642-12604-8_9	2190-3018
10.1007/978-3-642-12683-3_27	0302-9743
10.1007/978-3-642-12683-3_28	0302-9743
10.1007/978-3-642-12698-7_4	0075-8450
10.1007/978-3-642-12821-9_12	0075-8450
10.1007/978-3-642-12821-9_4	0075-8450
10.1007/978-3-642-12863-9_1	1862-5576
10.1007/978-3-642-12929-2_6	0302-9743
10.1007/978-3-642-13036-6_30	0302-9743
10.1007/978-3-642-13145-5_1	0340-4773
10.1007/978-3-642-13179-0_9	null
10.1007/978-3-642-13185-1_1	1436-6002
10.1007/978-3-642-13185-1_7	1436-6002
10.1007/978-3-642-13185-1_9	1436-6002
10.1007/978-3-642-13190-5_1	0302-9743
10.1007/978-3-642-13190-5_13	0302-9743
10.1007/978-3-642-13190-5_28	0302-9743
10.1007/978-3-642-13193-6_36	0302-9743
10.1007/978-3-642-13193-6_41	0302-9743
10.1007/978-3-642-13196-7_21	1612-3018
10.1007/978-3-642-13226-1_16	0302-9743
10.1007/978-3-642-13241-4_5	0302-9743
10.1007/978-3-642-13244-5_19	1868-4238
10.1007/978-3-642-13425-8_1	1867-4534
10.1007/978-3-642-13443-2_3	0171-2004
10.1007/978-3-642-13443-2_6	0171-2004
10.1007/978-3-642-13443-2_7	0171-2004
10.1007/978-3-642-13464-7_3	0302-9743
10.1007/978-3-642-13509-5_13	0302-9743
