10.1007/s004240100652	0031-6768
10.1007/s00425-002-0760-2	0032-0935
10.1007/s00425-002-0768-7	0032-0935
10.1007/s00425-002-0781-x	0032-0935
10.1007/s00425-002-0798-1	0032-0935
10.1007/s00425-002-0804-7	0032-0935
10.1007/s00425-002-0863-9	null
10.1007/s00425-002-0884-4	0032-0935
10.1007/s00425-002-0902-6	0032-0935
10.1007/s00425-002-0924-0	null
10.1007/s00425-002-0960-9	null
10.1007/s00425-003-1003-x	null
10.1007/s00425-003-1005-8	0032-0935
10.1007/s00425-003-1040-5	0032-0935
10.1007/s00425-003-1044-1	0032-0935
10.1007/s00425-003-1059-7	0032-0935
10.1007/s00425-003-1075-7	0032-0935
10.1007/s00425-003-1081-9	0032-0935
10.1007/s00425-003-1105-5	0032-0935
10.1007/s00425-003-1115-3	0032-0935
10.1007/s00425-003-1128-y	0032-0935
10.1007/s00425-003-1139-8	0032-0935
10.1007/s00425-003-1144-y	0032-0935
10.1007/s00425-003-1145-x	0032-0935
10.1007/s00425-003-1191-4	0032-0935
10.1007/s00425-004-1220-y	0032-0935
10.1007/s00425-004-1299-1	0032-0935
10.1007/s00425-004-1307-5	0032-0935
10.1007/s00425-004-1324-4	0032-0935
10.1007/s00425-004-1395-2	0032-0935
10.1007/s00425-004-1404-5	0032-0935
10.1007/s00425-004-1436-x	0032-0935
10.1007/s00425-004-1442-z	0032-0935
10.1007/s00425-005-0022-1	0032-0935
10.1007/s00425-005-0031-0	0032-0935
10.1007/s00425-005-0057-3	0032-0935
10.1007/s00425-005-0064-4	0032-0935
10.1007/s00425-005-0089-8	0032-0935
10.1007/s00425-005-0205-9	0032-0935
10.1007/s00425-005-0213-9	0032-0935
10.1007/s00425-005-1528-2	0032-0935
10.1007/s00425-005-1556-y	0032-0935
10.1007/s00425-006-0228-x	0032-0935
10.1007/s00425-006-0241-0	0032-0935
10.1007/s00425-006-0295-z	0032-0935
10.1007/s00425-006-0383-0	0032-0935
10.1007/s00425-006-0389-7	0032-0935
10.1007/s00425-006-0437-3	0032-0935
10.1007/s00425-006-0440-8	0032-0935
10.1007/s00425-007-0491-5	0032-0935
10.1007/s00425-007-0496-0	0032-0935
10.1007/s00425-007-0584-1	0032-0935
