10.1016/0009-2614(96)01095-0	0009-2614
10.1016/0009-2797(71)90053-6	0009-2797
10.1016/0009-2797(78)90071-6	0009-2797
10.1016/0009-2797(78)90095-9	0009-2797
10.1016/0009-2797(80)90142-8	0009-2797
10.1016/0009-2797(81)90134-4	0009-2797
10.1016/0009-2797(82)90129-6	0009-2797
10.1016/0009-2797(83)90037-6	0009-2797
10.1016/0009-2797(84)90064-4	0009-2797
10.1016/0009-2797(88)90034-8	0009-2797
10.1016/0009-2797(90)90004-7	0009-2797
10.1016/0009-2797(93)90002-G	0009-2797
10.1016/0009-2797(93)90023-R	0009-2797
10.1016/0009-2797(93)90042-W	0009-2797
10.1016/0009-2797(93)90056-5	0009-2797
10.1016/0009-2797(93)90086-E	0009-2797
10.1016/0009-2797(94)03580-2	0009-2797
10.1016/0009-2797(94)03581-R	0009-2797
10.1016/0009-2797(94)03583-T	0009-2797
10.1016/0009-2797(94)90053-1	0009-2797
10.1016/0009-2797(94)90057-4	0009-2797
10.1016/0009-2797(94)90063-9	0009-2797
10.1016/0009-2797(94)90068-x	0009-2797
10.1016/0009-2797(95)03641-5	0009-2797
10.1016/0009-2797(96)03723-4	0009-2797
10.1016/0009-3084(67)90004-7	0009-3084
10.1016/0009-3084(69)90026-7	0009-3084
10.1016/0009-3084(71)90010-7	0009-3084
10.1016/0009-3084(76)90003-7	0009-3084
10.1016/0009-3084(76)90022-0	0009-3084
10.1016/0009-3084(86)90067-8	0009-3084
10.1016/0009-3084(90)90090-E	0009-3084
10.1016/0009-3084(91)90009-Z	0009-3084
10.1016/0009-3084(94)90054-X	0009-3084
10.1016/0009-3084(94)90176-7	0009-3084
10.1016/0009-3084(95)02436-M	0009-3084
10.1016/0009-3084(95)02484-Z	0009-3084
10.1016/0009-3084(96)02529-7	0009-3084
10.1016/0009-3084(96)02545-5	0009-3084
10.1016/0009-5907(70)80005-9	0009-5907
10.1016/0009-8981(67)90036-8	0009-8981
10.1016/0009-8981(67)90127-1	0009-8981
10.1016/0009-8981(68)90372-0	0009-8981
10.1016/0009-8981(71)90187-2	0009-8981
10.1016/0009-8981(71)90496-7	0009-8981
10.1016/0009-8981(72)90316-6	0009-8981
10.1016/0009-8981(72)90438-X	0009-8981
10.1016/0009-8981(73)90125-3	0009-8981
10.1016/0009-8981(73)90276-3	0009-8981
10.1016/0009-8981(74)90177-6	0009-8981
10.1016/0009-8981(74)90225-3	0009-8981
10.1016/0009-8981(74)90398-2	0009-8981
10.1016/0009-8981(75)90273-9	0009-8981
