10.1016/0022-2836(92)91005-A	0022-2836
10.1016/0022-2836(92)91009-E	0022-2836
10.1016/0022-2836(92)91022-H	0022-2836
10.1016/0022-2836(92)91039-R	0022-2836
10.1016/0022-2836(92)91052-Q	0022-2836
10.1016/0022-2836(92)91059-x	0022-2836
10.1016/0022-2836(92)91071-V	0022-2836
10.1016/0022-2836(94)90016-7	0022-2836
10.1016/0022-2836(94)90036-1	0022-2836
10.1016/0022-2836(94)90040-X	0022-2836
10.1016/0022-2836(94)90041-8	0022-2836
10.1016/0022-2836(94)90055-8	0022-2836
10.1016/0022-2836(94)90056-6	0022-2836
10.1016/0022-2836(94)90064-7	0022-2836
10.1016/0022-2836(94)90065-5	0022-2836
10.1016/0022-28369290561-W	null
10.1016/0022-2852(59)90006-2	0022-2852
10.1016/0022-2852(59)90036-0	0022-2852
10.1016/0022-2852(61)90103-5	0022-2852
10.1016/0022-2852(62)90021-8	0022-2852
10.1016/0022-2852(63)90004-3	0022-2852
10.1016/0022-2852(63)90151-6	0022-2852
10.1016/0022-2852(64)90055-4	0022-2852
10.1016/0022-2852(64)90106-7	0022-2852
10.1016/0022-2852(64)90107-9	0022-2852
10.1016/0022-2852(64)90108-0	0022-2852
10.1016/0022-2852(66)90242-6	0022-2852
10.1016/0022-2852(68)90112-4	0022-2852
10.1016/0022-2852(70)90072-X	0022-2852
10.1016/0022-2852(70)90148-7	0022-2852
10.1016/0022-2852(71)90176-7	0022-2852
10.1016/0022-2852(71)90255-4	0022-2852
10.1016/0022-2852(72)90216-0	0022-2852
10.1016/0022-2852(73)90016-7	0022-2852
10.1016/0022-2852(73)90042-8	0022-2852
10.1016/0022-2852(74)90121-0	0022-2852
10.1016/0022-2852(74)90122-2	0022-2852
10.1016/0022-2852(74)90219-7	0022-2852
10.1016/0022-2852(74)90261-6	0022-2852
10.1016/0022-2852(75)90112-5	0022-2852
10.1016/0022-2852(76)90347-7	0022-2852
10.1016/0022-2852(79)90019-5	0022-2852
10.1016/0022-2852(79)90168-1	0022-2852
10.1016/0022-2852(80)90314-8	0022-2852
10.1016/0022-2852(82)90181-3	0022-2852
10.1016/0022-2852(83)90290-4	0022-2852
10.1016/0022-2852(84)90087-0	0022-2852
10.1016/0022-2852(85)90215-2	0022-2852
10.1016/0022-2852(85)90281-4	0022-2852
10.1016/0022-2852(86)90134-7	0022-2852
10.1016/0022-2852(86)90164-5	0022-2852
10.1016/0022-2852(86)90239-0	0022-2852
10.1016/0022-2852(87)90021-X	0022-2852
10.1016/0022-2852(87)90275-X	0022-2852
10.1016/0022-2852(88)90026-4	0022-2852
10.1016/0022-2852(88)90173-7	0022-2852
10.1016/0022-2852(89)90138-0	0022-2852
10.1016/0022-2852(90)90084-4	0022-2852
10.1016/0022-2852(91)90109-N	0022-2852
10.1016/0022-2852(91)90158-7	0022-2852
