10.1016/0092-8674(84)90550-6	0092-8674
10.1016/0092-8674(85)90007-8	0092-8674
10.1016/0092-8674(85)90008-X	0092-8674
10.1016/0092-8674(85)90009-1	0092-8674
10.1016/0092-8674(85)90017-0	0092-8674
10.1016/0092-8674(85)90058-3	0092-8674
10.1016/0092-8674(85)90063-7	0092-8674
10.1016/0092-8674(85)90070-4	0092-8674
10.1016/0092-8674(85)90078-9	0092-8674
10.1016/0092-8674(85)90084-4	0092-8674
10.1016/0092-8674(85)90098-4	0092-8674
10.1016/0092-8674(85)90115-1	0092-8674
10.1016/0092-8674(85)90138-2	0092-8674
10.1016/0092-8674(85)90140-0	0092-8674
10.1016/0092-8674(85)90141-2	0092-8674
10.1016/0092-8674(85)90155-2	0092-8674
10.1016/0092-8674(85)90159-x	0092-8674
10.1016/0092-8674(85)90170-9	0092-8674
10.1016/0092-8674(85)90178-3	0092-8674
10.1016/0092-8674(85)90197-7	0092-8674
10.1016/0092-8674(85)90198-9	0092-8674
10.1016/0092-8674(85)90207-7	0092-8674
10.1016/0092-8674(85)90229-6	0092-8674
10.1016/0092-8674(85)90230-2	0092-8674
10.1016/0092-8674(85)90246-6	0092-8674
10.1016/0092-8674(85)90250-8	0092-8674
10.1016/0092-8674(85)90273-9	0092-8674
10.1016/0092-8674(85)90300-9	0092-8674
10.1016/0092-8674(85)90303-4	0092-8674
10.1016/0092-8674(85)90308-3	0092-8674
10.1016/0092-8674(85)90322-8	0092-8674
10.1016/0092-8674(85)90333-2	0092-8674
10.1016/0092-8674(85)90334-4	0092-8674
10.1016/0092-8674(85)90336-8	0092-8674
10.1016/0092-8674(85)90341-1	0092-8674
10.1016/0092-8674(86)90004-8	0092-8674
10.1016/0092-8674(86)90007-3	0092-8674
10.1016/0092-8674(86)90008-5	0092-8674
10.1016/0092-8674(86)90014-0	0092-8674
10.1016/0092-8674(86)90018-8	0092-8674
10.1016/0092-8674(86)90062-0	0092-8674
10.1016/0092-8674(86)90070-X	0092-8674
10.1016/0092-8674(86)90071-1	0092-8674
10.1016/0092-8674(86)90074-7	0092-8674
10.1016/0092-8674(86)90269-2	0092-8674
10.1016/0092-8674(86)90287-4	0092-8674
10.1016/0092-8674(86)90318-1	0092-8674
10.1016/0092-8674(86)90341-7	0092-8674
10.1016/0092-8674(86)90344-2	0092-8674
10.1016/0092-8674(86)90345-4	0092-8674
10.1016/0092-8674(86)90346-6	0092-8674
10.1016/0092-8674(86)90360-0	0092-8674
10.1016/0092-8674(86)90362-4	0092-8674
10.1016/0092-8674(86)90366-1	0092-8674
10.1016/0092-8674(86)90388-0	0092-8674
10.1016/0092-8674(86)90389-2	0092-8674
10.1016/0092-8674(86)90442-3	0092-8674
10.1016/0092-8674(86)90450-2	0092-8674
10.1016/0092-8674(86)90453-8	0092-8674
10.1016/0092-8674(86)90463-0	0092-8674
10.1016/0092-8674(86)90491-5	0092-8674
10.1016/0092-8674(86)90507-6	0092-8674
10.1016/0092-8674(86)90508-8	0092-8674
10.1016/0092-8674(86)90511-8	0092-8674
10.1016/0092-8674(86)90515-5	0092-8674
10.1016/0092-8674(86)90516-7	0092-8674
10.1016/0092-8674(86)90519-2	0092-8674
10.1016/0092-8674(86)90522-2	0092-8674
10.1016/0092-8674(86)90533-7	0092-8674
10.1016/0092-8674(86)90555-6	0092-8674
10.1016/0092-8674(86)90586-6	0092-8674
10.1016/0092-8674(86)90590-8	0092-8674
10.1016/0092-8674(86)90595-7	0092-8674
10.1016/0092-8674(86)90619-7	0092-8674
10.1016/0092-8674(86)90622-7	0092-8674
10.1016/0092-8674(86)90693-8	0092-8674
10.1016/0092-8674(86)90706-3	0092-8674
10.1016/0092-8674(86)90736-1	0092-8674
10.1016/0092-8674(86)90739-7	0092-8674
10.1016/0092-8674(86)90751-8	0092-8674
10.1016/0092-8674(86)90759-2	0092-8674
10.1016/0092-8674(86)90761-0	0092-8674
10.1016/0092-8674(86)90762-2	0092-8674
10.1016/0092-8674(86)90770-1	0092-8674
10.1016/0092-8674(86)90783-X	0092-8674
10.1016/0092-8674(86)90784-1	0092-8674
10.1016/0092-8674(86)90785-3	0092-8674
10.1016/0092-8674(86)90787-7	0092-8674
10.1016/0092-8674(86)90801-9	0092-8674
10.1016/0092-8674(86)90841-X	0092-8674
10.1016/0092-8674(86)90842-1	0092-8674
10.1016/0092-8674(86)90859-7	0092-8674
10.1016/0092-8674(86)90883-4	0092-8674
10.1016/0092-8674(86)90884-6	0092-8674
10.1016/0092-8674(87)90015-8	0092-8674
10.1016/0092-8674(87)90016-X	0092-8674
10.1016/0092-8674(87)90030-4	0092-8674
10.1016/0092-8674(87)90031-6	0092-8674
10.1016/0092-8674(87)90071-7	0092-8674
10.1016/0092-8674(87)90079-1	0092-8674
10.1016/0092-8674(87)90085-7	0092-8674
10.1016/0092-8674(87)90086-9	0092-8674
10.1016/0092-8674(87)90097-3	0092-8674
10.1016/0092-8674(87)90108-5	0092-8674
10.1016/0092-8674(87)90109-7	0092-8674
10.1016/0092-8674(87)90123-1	0092-8674
10.1016/0092-8674(87)90126-7	0092-8674
10.1016/0092-8674(87)90128-0	0092-8674
