10.1034/j.1600-0412.2003.820107.x	0001-6349
10.1034/j.1600-0420.1998.760416.x	1395-3907
10.1034/j.1600-0420.1999.770121.x	1395-3907
10.1034/j.1600-0420.2000.078006656.x	1395-3907
10.1034/j.1600-0420.2002.800104.x	1395-3907
10.1034/j.1600-0420.2002.800104.x/full/	null
10.1034/j.1600-0420.2002.800107.x	1395-3907
10.1034/j.1600-0420.2002.800203.x/full	null
10.1034/j.1600-0420.2002.800206.x	1395-3907
10.1034/j.1600-0420.2003.00024.x	1395-3907
10.1034/j.1600-0420.2003.00125.x	1395-3907
10.1034/j.1600-0447.108.s417.4.x	0001-690X
10.1034/j.1600-0447.108.s418.13.x	0001-690X
10.1034/j.1600-0447.108.s418.8.x	0001-690X
10.1034/j.1600-0447.2000.00016.x	0001-690X
10.1034/j.1600-0447.2000.102003217.x	0001-690X
10.1034/j.1600-0447.2000.102004256.x	0001-690X
10.1034/j.1600-0447.2000.102005321.x	0001-690X
10.1034/j.1600-0447.2001.00008.x	0001-690X
10.1034/j.1600-0447.2001.00078.x	0001-690X
10.1034/j.1600-0447.2001.00131.x	0001-690X
10.1034/j.1600-0447.2001.00240.x	0001-690X
10.1034/j.1600-0447.2001.1040s2041.x	0001-690X
10.1034/j.1600-0447.2001.1040s2102.x	0001-690X
10.1034/j.1600-0447.2002.01250.x	0001-690X
10.1034/j.1600-0447.2002.01463.x	0001-690X
10.1034/j.1600-0447.2002.02255.x	0001-690X
10.1034/j.1600-0447.2002.02255.x/abstract	null
10.1034/j.1600-0447.2002.0_011.x	0001-690X
10.1034/j.1600-0447.2002.2c257a.x	0001-690X
10.1034/j.1600-0447.2003.00053.x	0001-690X
10.1034/j.1600-0447.2003.00147.x	0001-690X
10.1034/j.1600-0447.2003.00151.x	0001-690X
10.1034/j.1600-0447.2003.00154.x	0001-690X
10.1034/j.1600-0447.2003.00204.x	0001-690X
10.1034/j.1600-0455.2000.041003288.x	0284-1851
10.1034/j.1600-0463.2001.090305.x	0903-4641
10.1034/j.1600-0463.2001.090507.x	0903-4641
10.1034/j.1600-0463.2002.1101003.x	0903-4641
10.1034/j.1600-0463.2002.1101101.x/abstract;jsessionid=C40F7DA658C09C4F8	null
10.1034/j.1600-0463.2003.11101161.x	0903-4641
10.1034/j.1600-0463.2003.1110208.x	0903-4641
10.1034/j.1600-0463.2003.1110504.x	0903-4641
10.1034/j.1600-0463.2003.1110508.x	0903-4641
10.1034/j.1600-0463.2003.1110601.x	0903-4641
10.1034/j.1600-0463.2003.1110901.x	0903-4641
10.1034/j.1600-0463.2003.1111001.x	0903-4641
10.1034/j.1600-0471.2001.d01-2.x	0905-7196
10.1034/j.1600-0471.2001.d01-2.x/abstract	null
10.1034/j.1600-0471.2002.130204.x	0905-7196
10.1034/j.1600-0471.2003.00017.x	0905-7196
10.1034/j.1600-0471.2003.00017.x/full	null
10.1034/j.1600-048X.2000.1310414.x	0908-8857
10.1034/j.1600-048X.2000.210201.x	0908-8857
10.1034/j.1600-048X.2000.310003.x	0908-8857
10.1034/j.1600-048X.2000.310208.x	0908-8857
10.1034/j.1600-048X.2000.310208.x/abstract	null
10.1034/j.1600-048X.2000.310209.x	0908-8857
10.1034/j.1600-048X.2000.310214.x	0908-8857
10.1034/j.1600-048X.2000.310307.x	0908-8857
10.1034/j.1600-048X.2000.310308.x	0908-8857
10.1034/j.1600-048X.2000.310402.x	0908-8857
10.1034/j.1600-048X.2000.310404.x	0908-8857
10.1034/j.1600-048X.2001.320107.x	0908-8857
10.1034/j.1600-048X.2001.320202.x	0908-8857
10.1034/j.1600-048X.2001.320204.x	0908-8857
10.1034/j.1600-048X.2001.320210.x	0908-8857
10.1034/j.1600-048X.2002.02882.x	0908-8857
10.1034/j.1600-048X.2002.02888.x	0908-8857
10.1034/j.1600-048X.2002.330103.x	0908-8857
10.1034/j.1600-048X.2002.330301.x	0908-8857
10.1034/j.1600-048X.2003.02950.x	0908-8857
10.1034/j.1600-048X.2003.03042.x	0908-8857
10.1034/j.1600-048X.2003.03049.x	0908-8857
10.1034/j.1600-048X.2003.03062.x	0908-8857
10.1034/j.1600-048X.2003.03079.x	0908-8857
10.1034/j.1600-048X.2003.03103.x	0908-8857
10.1034/j.1600-048X.2003.03121.x	0908-8857
10.1034/j.1600-048X.2003.03121.x/abstract	null
10.1034/j.1600-048x.2000.310413.x	0908-8857
10.1034/j.1600-048x.2001.320215.x	0908-8857
10.1034/j.1600-048x.2003.03113.x	0908-8857
10.1034/j.1600-048x.2003.03170.x	0908-8857
10.1034/j.1600-0498.2000.420301.x	0008-8994
10.1034/j.1600-0498.2000.420301.x/abstract	null
10.1034/j.1600-0501.1994.050410.x	0905-7161
10.1034/j.1600-0501.1996.070208.x	0905-7161
10.1034/j.1600-0501.1996.070308.x	0905-7161
10.1034/j.1600-0501.2001.012001009.x	0905-7161
10.1034/j.1600-0501.2001.012001079.x	0905-7161
10.1034/j.1600-0501.2001.012003279.x	0905-7161
10.1034/j.1600-0501.2003.00810.x	0905-7161
10.1034/j.1600-0501.2003.00972.x	0905-7161
10.1034/j.1600-051X.1999.260406.x	0303-6979
10.1034/j.1600-051X.2002.290906.x	0303-6979
10.1034/j.1600-051X.2003.00289.x/abstract	null
10.1034/j.1600-051X.2003.00342.x	0303-6979
10.1034/j.1600-051X.2003.00399.x	0303-6979
10.1034/j.1600-051X.2003.20004.x	0303-6979
10.1034/j.1600-051X.29.s3.12.x	0303-6979
10.1034/j.1600-051X.29.s3.3.x	0303-6979
10.1034/j.1600-051X.29.s3.5.x	0303-6979
10.1034/j.1600-051X.29.s3.8.x	0303-6979
10.1034/j.1600-051x.2000.027002128.x	0303-6979
10.1034/j.1600-051x.2001.028007680.x	0303-6979
10.1034/j.1600-051x.2003.00289.x	0303-6979
10.1034/j.1600-051x.2003.20008.x	0303-6979
10.1034/j.1600-0528.2000.028005321.x	0301-5661
10.1034/j.1600-0528.2001.290407.x	0301-5661
10.1034/j.1600-0528.2002.017408.x	0105-2896
10.1034/j.1600-0528.2002.017410.x	0105-2896
10.1034/j.1600-0536.2000.042002098.x	0105-1873
10.1034/j.1600-0536.2000.042005276.x	0105-1873
10.1034/j.1600-0536.2000.043001041.x	0105-1873
10.1034/j.1600-0536.2000.043006322.x	0105-1873
10.1034/j.1600-0536.2001.045003129.x	0105-1873
10.1034/j.1600-0536.2001.440107-22.x	0105-1873
10.1034/j.1600-0536.2001.440107-8.x	0105-1873
10.1034/j.1600-0536.2001.440202.x	0105-1873
10.1034/j.1600-0536.2001.440409-15.x	0105-1873
10.1034/j.1600-0536.2001.440609-7.x	0105-1873
10.1034/j.1600-0536.2001.450501.x	0105-1873
10.1034/j.1600-0536.2001.450503.x	0105-1873
10.1034/j.1600-0536.2001.450601.x	0105-1873
10.1034/j.1600-0536.2002.470210_5.x	0105-1873
10.1034/j.1600-0536.2002.470302.x	0105-1873
10.1034/j.1600-0536.2002.470308_4.x	0105-1873
10.1034/j.1600-0536.2003.00050.x	0105-1873
10.1034/j.1600-0536.2003.00078.x	0105-1873
10.1034/j.1600-0544.2003.232.x	1601-6335
10.1034/j.1600-0560.2001.028009460.x	0303-6987
10.1034/j.1600-0560.2001.281004.x	0303-6987
10.1034/j.1600-0560.2002.290201.x	0303-6987
10.1034/j.1600-0560.2002.290507.x	0303-6987
10.1034/j.1600-0560.2002.290708.x	0303-6987
10.1034/j.1600-0560.2002.291009.x	0303-6987
10.1034/j.1600-0560.2003.00126.x	0303-6987
10.1034/j.1600-0579.2003.12560.x	0030-1299
10.1034/j.1600-0587.2001.240106.x	0906-7590
10.1034/j.1600-0587.2001.240207.x	0906-7590
10.1034/j.1600-0587.2001.240207.x/abstract	null
10.1034/j.1600-0587.2001.240302.x	0906-7590
10.1034/j.1600-0587.2002.250210.x	0906-7590
10.1034/j.1600-0587.2002.250210.x/abstract	null
10.1034/j.1600-0587.2002.250403.x	0906-7590
10.1034/j.1600-0587.2002.250505.x	0906-7590
10.1034/j.1600-0587.2002.250507.x	0906-7590
10.1034/j.1600-0587.2002.250509.x	0906-7590
10.1034/j.1600-0587.2002.250602.x	0906-7590
10.1034/j.1600-0587.2002.250610.x	0906-7590
10.1034/j.1600-0587.2003.03264.x	0906-7590
10.1034/j.1600-0587.2003.03372.x	0906-7590
10.1034/j.1600-0587.2003.03411.x	0906-7590
10.1034/j.1600-0587.2003.03478.x	0906-7590
10.1034/j.1600-0609.2000.09005.x	0902-4441
10.1034/j.1600-0609.2000.90054.x	0902-4441
10.1034/j.1600-0609.2000.90112.x	0902-4441
10.1034/j.1600-0609.2001.t01-1-00385.x	0902-4441
10.1034/j.1600-0609.2003.00079.x	0902-4441
10.1034/j.1600-0625.2000.009001011.x	0906-6705
10.1034/j.1600-0625.2000.009003165.x	0906-6705
10.1034/j.1600-0625.2000.009003170.x	0906-6705
10.1034/j.1600-0625.2000.009003178.x	0906-6705
10.1034/j.1600-0625.2000.009004229.x	0906-6705
10.1034/j.1600-0625.2000.009005323.x	0906-6705
10.1034/j.1600-0625.2001.100101.x	0906-6705
10.1034/j.1600-0625.2002.110202.x	0906-6705
10.1034/j.1600-0625.2002.110205.x	0906-6705
10.1034/j.1600-0625.2002.110307.x	0906-6705
10.1034/j.1600-0625.2002.110402.x	0906-6705
10.1034/j.1600-0625.2002.110503.x	0906-6705
10.1034/j.1600-0625.2002.110506.x	0906-6705
10.1034/j.1600-0625.2002.110601.x	0906-6705
10.1034/j.1600-0625.2002.110603.x	0906-6705
10.1034/j.1600-0625.2002.110606.x	0906-6705
10.1034/j.1600-0625.2003.120210.x	0906-6705
10.1034/j.1600-0625.2003.120307.x	0906-6705
10.1034/j.1600-0633.2001.100104.x	0906-6691
10.1034/j.1600-0633.2003.00010.x	0906-6691
10.1034/j.1600-065X.2000.00601.x	0105-2896
10.1034/j.1600-065X.2000.17610.x	0105-2896
10.1034/j.1600-065X.2000.17705.x	0105-2896
10.1034/j.1600-065X.2000.17818.x	0105-2896
10.1034/j.1600-065X.2000.917309.x	0105-2896
10.1034/j.1600-065X.2001.1800103.x	0105-2896
10.1034/j.1600-065X.2001.1800113.x	0105-2896
10.1034/j.1600-065X.2001.1810119.x	0105-2896
10.1034/j.1600-065X.2001.1810120.x	0105-2896
10.1034/j.1600-065X.2001.790102.x	0105-2896
10.1034/j.1600-065X.2002.18502.x	0105-2896
10.1034/j.1600-065X.2002.18611.x	0105-2896
10.1034/j.1600-065X.2002.18803.x	0105-2896
10.1034/j.1600-065X.2002.18908.x	0105-2896
