10.1063/1.1740893	0034-6748
10.1063/1.1740898	0034-6748
10.1063/1.1740948	0034-6748
10.1063/1.1740998	0034-6748
10.1063/1.1741336	0034-6748
10.1063/1.1741367	0034-6748
10.1063/1.1741967	0021-9606
10.1063/1.1742004	0021-9606
10.1063/1.1742043	0021-9606
10.1063/1.1742383	0021-9606
10.1063/1.1742417	0021-9606
10.1063/1.1742464	0021-9606
10.1063/1.1742605	0021-9606
10.1063/1.1742723	0021-9606
10.1063/1.1742724	0021-9606
10.1063/1.1742786	0021-9606
10.1063/1.1742860	0021-9606
10.1063/1.1743058	0021-9606
10.1063/1.1743093	0021-9606
10.1063/1.1743146	0021-9606
10.1063/1.1743156	0021-9606
10.1063/1.1743177	0021-9606
10.1063/1.1743184	0021-9606
10.1063/1.1743270	0021-9606
10.1063/1.1743423	0021-9606
10.1063/1.1743424	0021-9606
10.1063/1.1743615	0021-9606
10.1063/1.1743665	0021-9606
10.1063/1.1743957	0021-9606
10.1063/1.1744060	0021-9606
10.1063/1.1744079	0021-9606
10.1063/1.1744102	0021-9606
10.1063/1.1744261	0021-9606
10.1063/1.1744305	0021-9606
10.1063/1.1744372	0021-9606
10.1063/1.1744387	0021-9606
10.1063/1.1744539	0021-9606
10.1063/1.1744619	0021-9606
10.1063/1.1745010	0148-6349
10.1063/1.1745385	0148-6349
10.1063/1.1745402	0148-6349
10.1063/1.1745403	0148-6349
10.1063/1.1745593	0034-6748
10.1063/1.1745653	0034-6748
10.1063/1.1745964	0021-9606
10.1063/1.1746292	0021-9606
10.1063/1.1746464	0021-9606
10.1063/1.1746479	0034-6748
10.1063/1.1746611	0021-9606
10.1063/1.1746736	0021-9606
10.1063/1.1746738	0021-9606
10.1063/1.1746740	0021-9606
10.1063/1.1746878	0021-9606
10.1063/1.1746914	0021-9606
10.1063/1.1747028	0021-9606
10.1063/1.1747034	0021-9606
10.1063/1.1747097	0021-9606
10.1063/1.1747157	0021-9606
10.1063/1.1747225	0021-9606
10.1063/1.1747367	0021-9606
10.1063/1.1747368	0021-9606
10.1063/1.1747507	0021-9606
10.1063/1.1747540	0021-9606
10.1063/1.1747618	0021-9606
10.1063/1.1747632	0021-9606
10.1063/1.1747725	0021-9606
10.1063/1.1748043	0021-9606
10.1063/1.1748067	0021-9606
10.1063/1.1748094	0021-9606
10.1063/1.1748125	0021-9606
10.1063/1.1748126	0021-9606
10.1063/1.1748245	0021-9606
10.1063/1.1748352	0021-9606
10.1063/1.1748418	0021-9606
10.1063/1.1748508	0021-9606
10.1063/1.1749104	0034-6748
10.1063/1.1749213	0021-9606
10.1063/1.1749219	0021-9606
10.1063/1.1749252	0021-9606
10.1063/1.1749290	0021-9606
10.1063/1.1749300	0021-9606
10.1063/1.1749304	0021-9606
10.1063/1.1749319	0021-9606
10.1063/1.1749327	0021-9606
10.1063/1.1749394	0021-9606
10.1063/1.1749433	0021-9606
10.1063/1.1749518	0021-9606
10.1063/1.1749549	0021-9606
10.1063/1.1749559	0021-9606
10.1063/1.1749590	0021-9606
10.1063/1.1749604	0021-9606
10.1063/1.1749657	0021-9606
10.1063/1.1749731	0021-9606
10.1063/1.1749762	0021-9606
10.1063/1.1749818	0021-9606
10.1063/1.1749833	0021-9606
10.1063/1.1749834	0021-9606
10.1063/1.1749851	0021-9606
10.1063/1.1749915	0021-9606
10.1063/1.1750097	0021-9606
10.1063/1.1750183	0021-9606
10.1063/1.1750302	0021-9606
10.1063/1.1750303	0021-9606
10.1063/1.1750326	0021-9606
10.1063/1.1750327	0021-9606
10.1063/1.1750380	0021-9606
10.1063/1.1750404	0021-9606
10.1063/1.1750455	0021-9606
10.1063/1.1750497	0021-9606
10.1063/1.1750516	0021-9606
10.1063/1.1750628	0021-9606
10.1063/1.1750631	0021-9606
10.1063/1.1750658	0021-9606
10.1063/1.1750808	0021-9606
10.1063/1.1750821	0021-9606
10.1063/1.1750822	0021-9606
10.1063/1.1750829	0021-9606
10.1063/1.1750868	0021-9606
10.1063/1.1750872	0021-9606
10.1063/1.1750906	0021-9606
10.1063/1.1751443	0034-6748
10.1063/1.1751458	0034-6748
10.1063/1.1751492	0034-6748
10.1063/1.1751525	0034-6748
10.1063/1.1751952	0034-6748
10.1063/1.1752028	0034-6748
10.1063/1.1752061	0034-6748
10.1063/1.1752094	0034-6748
10.1063/1.1752180	0034-6748
10.1063/1.1752414	0031-9228
10.1063/1.1752422	0031-9228
10.1063/1.1752438	0031-9228
10.1063/1.1752439	0031-9228
10.1063/1.1753706	0003-6951
10.1063/1.1753707	0003-6951
10.1063/1.1753757	0003-6951
10.1063/1.1753778	0003-6951
10.1063/1.1753837	0003-6951
10.1063/1.1753925	0003-6951
10.1063/1.1753928	0003-6951
10.1063/1.1753975	0003-6951
10.1063/1.1754017	0003-6951
10.1063/1.1754022	0003-6951
10.1063/1.1754056	0003-6951
10.1063/1.1754114	0003-6951
10.1063/1.1754212	0003-6951
10.1063/1.1754276	0003-6951
10.1063/1.1754319	0003-6951
10.1063/1.1754323	0003-6951
10.1063/1.1754630	0003-6951
10.1063/1.1754639	0003-6951
10.1063/1.1754691	0003-6951
10.1063/1.1754804	0003-6951
10.1063/1.1755025	0003-6951
10.1063/1.1755043	0003-6951
10.1063/1.1755081	0003-6951
10.1063/1.1755417	0003-6951
10.1063/1.1759314	0021-9606
10.1063/1.1760221	0003-6951
10.1063/1.1761178	0031-9171
10.1063/1.1761320	0031-9171
10.1063/1.1761572	0031-9171
10.1063/1.1761687	0031-9171
10.1063/1.1761740	0031-9171
10.1063/1.1761804	0031-9171
10.1063/1.1761933	0031-9171
10.1063/1.1762250	0031-9171
10.1063/1.1765099	0021-9606
10.1063/1.1765733	0003-6951
10.1063/1.1765753	0034-6748
10.1063/1.1766077	0003-6951
10.1063/1.1767290	0021-8979
10.1063/1.1767291	0021-8979
10.1063/1.1768161	0021-9606
10.1063/1.1768615	0021-8979
10.1063/1.1768652	0031-9228
10.1063/1.1768663	0031-9228
10.1063/1.1768679	0031-9228
10.1063/1.1768681	0031-9228
10.1063/1.1769796	0034-6748
10.1063/1.1769802	0034-6748
10.1063/1.1769919	0034-6748
10.1063/1.1769937	0034-6748
10.1063/1.1769941	0034-6748
10.1063/1.1770037	0034-6748
10.1063/1.1770167	0034-6748
10.1063/1.1770416	0034-6748
10.1063/1.1770432	0034-6748
10.1063/1.1770435	0034-6748
10.1063/1.1770483	0034-6748
10.1063/1.1770803	0034-6748
10.1063/1.1771061	0034-6748
10.1063/1.1771150	0034-6748
10.1063/1.1771814	0003-6951
10.1063/1.1772526	0003-6951
10.1063/1.1772862	0003-6951
10.1063/1.1772869	0003-6951
10.1063/1.1772878	0021-8979
10.1063/1.1773380	0021-8979
10.1063/1.1774674	0094-243X
10.1063/1.1774894	0094-243X
10.1063/1.1774975	0021-9606
10.1063/1.1775281	0003-6951
10.1063/1.1777106	0021-8979
10.1063/1.1777174	0021-8979
10.1063/1.1777178	0021-8979
10.1063/1.1777371	0003-6951
10.1063/1.1777388	0034-6748
10.1063/1.1777575	0021-9606
10.1063/1.1779356	0003-6951
10.1063/1.1781158	1070-6631
10.1063/1.1781744	0003-6951
10.1063/1.1782123	0021-8979
10.1063/1.1784272	0031-9228
10.1063/1.1784301	0031-9228
10.1063/1.1784317	0031-9228
10.1063/1.1784322	0031-9228
10.1063/1.1784567	0034-6748
10.1063/1.1785844	0034-6748
10.1063/1.1787313	0094-243X
10.1063/1.1788661	0021-9606
10.1063/1.1788852	0022-2488
10.1063/1.1789592	0034-6748
10.1063/1.1790067	0021-8979
10.1063/1.1790931	0021-9606
10.1063/1.1791051	0021-9606
10.1063/1.1794351	0003-6951
10.1063/1.1794897	0021-8979
10.1063/1.1795971	0022-2488
10.1063/1.1797559	0003-6951
10.1063/1.1800733	0094-243X
10.1063/1.1801673	0003-6951
10.1063/1.1802211	0021-9606
10.1063/1.1805499	0021-9606
10.1063/1.1805516	0021-9606
10.1063/1.1806533	0021-8979
10.1063/1.1806792	0021-9606
10.1063/1.1808117	0021-9606
10.1063/1.1808695	0021-9606
10.1063/1.1808888	0003-6951
10.1063/1.1809100	0031-9228
10.1063/1.1811607	0021-9606
10.1063/1.1812368	0003-6951
10.1063/1.1814074	0021-9606
10.1063/1.1814413	0021-8979
10.1063/1.1818739	0003-6951
10.1063/1.1819431	0034-6748
10.1063/1.1821671	1054-1500
10.1063/1.1823034	0003-6951
10.1063/1.1824902	0021-9606
10.1063/1.1824904	0021-9606
10.1063/1.1825267	0031-9228
10.1063/1.1825280	0031-9228
10.1063/1.1825282	0031-9228
10.1063/1.1825629	0021-8979
10.1063/1.1826217	0021-8979
10.1063/1.1827334	0003-6951
10.1063/1.1828585	0021-8979
10.1063/1.1829144	0021-8979
10.1063/1.1829160	0003-6951
10.1063/1.1829165	0003-6951
10.1063/1.1829255	0021-9606
10.1063/1.1829395	0021-8979
10.1063/1.1831277	0021-9606
10.1063/1.1832737	0003-6951
10.1063/1.1833357	0021-9606
10.1063/1.1835171	0094-243X
10.1063/1.1835238	0094-243X
10.1063/1.1835951	0021-9606
10.1063/1.1835955	0021-9606
10.1063/1.1839371	0031-9228
10.1063/1.1839381	0031-9228
10.1063/1.1839390	0031-9228
10.1063/1.1839571	0021-9606
10.1063/1.1839852	0021-9606
10.1063/1.1840113	0003-6951
10.1063/1.1840476	0021-9606
10.1063/1.1840691	0021-9606
10.1063/1.1840762	0021-9606
10.1063/1.1840834	0021-9606
10.1063/1.1841150	0021-9606
10.1063/1.1841177	0021-9606
10.1063/1.1841197	0021-9606
10.1063/1.1841236	0021-9606
10.1063/1.1841874	0094-243X
10.1063/1.1841902	0094-243X
10.1063/1.1845603	0022-2488
10.1063/1.1846145	0003-6951
10.1063/1.1849055	0021-8979
10.1063/1.1850185	0003-6951
10.1063/1.1850654	0034-6748
10.1063/1.1854721	0003-6951
10.1063/1.1855388	0003-6951
10.1063/1.1856690	0003-6951
10.1063/1.1856923	0021-9606
10.1063/1.1857478	0021-9606
10.1063/1.1861123	0003-6951
10.1063/1.1861495	0003-6951
10.1063/1.1861512	0021-8979
10.1063/1.1861554	1054-1500
10.1063/1.1862334	0003-6951
10.1063/1.1862338	0003-6951
10.1063/1.1864892	0021-9606
10.1063/1.1866501	0021-8979
10.1063/1.1867264	0094-243X
10.1063/1.1867270	0094-243X
10.1063/1.1867271	0094-243X
10.1063/1.1871246	1070-664X
10.1063/1.1873872	1070-664X
10.1063/1.1874568	0094-243X
10.1063/1.1878333	0031-9228
10.1063/1.1878347	0031-9228
10.1063/1.1878349	0031-9228
10.1063/1.1878352	0031-9228
10.1063/1.1881896	0031-9228
10.1063/1.1881912	0031-9228
10.1063/1.1884126	1070-664X
10.1063/1.1887186	1070-664X
10.1063/1.1887827	0003-6951
10.1063/1.1888568	0022-2488
10.1063/1.1888822	1070-664X
10.1063/1.1895487	0003-6951
10.1063/1.1896384	0022-2488
10.1063/1.1896693	0094-243X
10.1063/1.1896725	0094-243X
10.1063/1.1897526	0031-9228
10.1063/1.1897530	0031-9228
10.1063/1.1897570	0031-9228
10.1063/1.1897571	0031-9228
10.1063/1.1897572	0031-9228
10.1063/1.1897573	0031-9228
10.1063/1.1898203	0034-6748
10.1063/1.1898215	0021-9606
10.1063/1.1898432	0003-6951
10.1063/1.1900510	0094-243X
10.1063/1.1901835	0021-8979
10.1063/1.1904565	0021-9606
10.1063/1.1904586	0021-9606
10.1063/1.1914958	0003-6951
10.1063/1.1915288	0034-6748
10.1063/1.1917756	0021-9606
10.1063/1.1921336	0021-8979
10.1063/1.1921352	0003-6951
10.1063/1.1923750	0003-6951
10.1063/1.1924448	0021-9606
10.1063/1.1924703	0022-2488
10.1063/1.1926410	0003-6951
10.1063/1.1928231	0047-2689
10.1063/1.1928316	0003-6951
10.1063/1.1931206	0022-2488
10.1063/1.1931221	0022-2488
10.1063/1.1931662	0021-9606
10.1063/1.1931825	0003-6951
10.1063/1.1937395	0021-9606
10.1063/1.1938253	0003-6951
10.1063/1.1940727	0021-8979
10.1063/1.1941471	0003-6951
10.1063/1.1943497	0003-6951
10.1063/1.1945141	0094-243X
10.1063/1.1949707	0003-6951
10.1063/1.1953147	1054-1500
10.1063/1.1954771	0021-9606
10.1063/1.1954898	0003-6951
10.1063/1.1955479	0031-9228
10.1063/1.1955494	0031-9228
10.1063/1.1955495	0031-9228
10.1063/1.1955498	0031-9228
10.1063/1.1955501	0031-9228
10.1063/1.1961472	0021-9606
10.1063/1.1984590	0021-8979
10.1063/1.1985069	0022-2488
10.1063/1.1989443	0003-6951
10.1063/1.1990119	0021-9606
10.1063/1.1991989	0003-6951
10.1063/1.1992473	0021-9606
10.1063/1.1992666	0021-8979
10.1063/1.1993768	0003-6951
10.1063/1.1994124	0094-243X
10.1063/1.1995746	0031-9228
10.1063/1.1995747	0031-9228
10.1063/1.1995758	0031-9228
10.1063/1.1995761	0031-9228
10.1063/1.1996487	0031-9228
10.1063/1.1996490	0031-9228
10.1063/1.1999015	0003-6951
10.1063/1.2000457	0021-8979
