10.1108/eb032812	0002-2667
10.1108/eb033911	0002-2667
10.1108/eb034021	0002-2667
10.1108/eb034143	0002-2667
10.1108/eb034268	0002-2667
10.1108/eb034594	0002-2667
10.1108/eb034738	0002-2667
10.1108/eb034756	0002-2667
10.1108/eb035011	0002-2667
10.1108/eb035013	0002-2667
10.1108/eb035278	0002-2667
10.1108/eb035344	0002-2667
10.1108/eb035500	0002-2667
10.1108/eb035612	0002-2667
10.1108/eb035646	0002-2667
10.1108/eb035729	0002-2667
10.1108/eb035956	0002-2667
10.1108/eb036425	0002-2667
10.1108/eb036547	0002-2667
10.1108/eb036574	0002-2667
10.1108/eb037564	0002-2667
10.1108/eb039012	0275-6668
10.1108/eb040072	0275-6668
10.1108/eb041262	0369-9420
10.1108/eb042356	0369-9420
10.1108/eb042601	0369-9420
10.1108/eb045831	1446-8956
10.1108/eb046298	0305-6120
10.1108/eb046445	1059-5422
10.1108/eb046759	0033-0337
10.1108/eb047078	0033-0337
10.1108/eb047194	0033-0337
10.1108/eb047254	1066-2243
10.1108/eb047542	0737-8831
10.1108/eb047619	0737-8831
10.1108/eb049014	0090-7324
10.1108/eb049109	0090-7324
10.1108/eb049231	0090-7324
10.1108/eb053170	0036-8792
10.1108/eb054316	0094-064X
10.1108/eb054428	0094-064X
10.1108/eb054547	0094-064X
10.1108/eb054625	1087-8572
10.1108/eb054631	1087-8572
10.1108/eb056599	0007-6929
10.1108/eb058538	0034-6659
10.1108/eb058634	0034-6659
10.1108/eb059274	1747-1117
10.1108/eb059872	0251-3102
10.1108/eb059958	0251-3102
10.1108/ejm-11-2011-0641	0309-0566
10.1108/ejm-12-2012-0694	0309-0566
10.1108/el-08-2014-0140	0264-0473
10.1108/eum0000000000542	0309-0566
10.1108/eum0000000000629	0309-0566
10.1108/eum0000000000630	0309-0566
10.1108/eum0000000004009	0043-8022
10.1108/eum0000000004664	0309-0566
10.1108/eum0000000004779	0309-0566
10.1108/eum0000000005144	0309-0566
10.1108/eum0000000005279	0309-0566
10.1108/eum0000000006930	0033-0337
10.1108/eum0000000007145	0022-0418
10.1108/eum0000000007204	0022-0418
10.1108/fs-02-2012-0007	1463-6689
10.1108/hrmid.2006.04414cad.007	0967-0734
10.1108/ijccsm-11-2012-0063	1756-8692
10.1108/ijchm-03-2014-0154	0959-6119
10.1108/ijchm-09-2015-0523	0959-6119
10.1108/ijebr-05-2015-0120	1355-2554
10.1108/ijge-09-2012-0035	1756-6266
10.1108/ijlps-07-2014-0011	1747-9886
10.1108/ijpdlm-11-2016-0332	0960-0035
10.1108/ijphm-05-2013-0024	1750-6123
10.1108/ijshe-09-2016-0175	1467-6370
10.1108/ijshe.2013.24914daa.009	1467-6370
10.1108/ijsms-03-01-2001-b006	1464-6668
10.1108/ijsms-03-03-2001-b006	1464-6668
10.1108/ijsms-06-01-2004-b004	1464-6668
10.1108/ijsms-07-01-2005-b004	1464-6668
10.1108/ijsms-11-02-2010-b004	1464-6668
10.1108/ijsms-14-02-2013-b002	1464-6668
10.1108/imr-06-2014-0205	0265-1335
10.1108/intr-02-2014-0041	1066-2243
10.1108/jacpr-09-2013-0025	1759-6599
10.1108/jcm-12-2013-0811	0736-3761
10.1108/jcm-12-2014-1268	0736-3761
10.1108/jd.2002.58.1.133.13	0022-0418
10.1108/jfp-08-2012-0002	2050-8794
10.1108/jic-02-2014-0017	1469-1930
10.1108/jic-12-2012-0107	1469-1930
10.1108/jices-05-2015-0011	1477-996X
10.1108/jkm-06-2014-0220	1367-3270
10.1108/jkm-10-2015-0394	1367-3270
10.1108/jkm-11-2015-0427	1367-3270
10.1108/jme-12-2014-0044	2053-535X
10.1108/jmp-10-2012-0295	0268-3946
10.1108/joepp-03-2014-0012	2051-6614
10.1108/jrim-02-2014-0007	2040-7122
10.1108/jrim-06-2014-0039	2040-7122
10.1108/jstp-09-2014-0206	2055-6225
