10.1119/1.4874853	0002-9505
10.1119/1.4874855	0002-9505
10.1119/1.4878358	0002-9505
10.1119/1.4886365	0002-9505
10.1119/1.4895828	0002-9505
10.1119/1.4898780	0002-9505
10.1119/1.4907264	0002-9505
10.1119/1.4907361	0002-9505
10.1119/1.4913414	0002-9505
10.1119/1.4916949	0002-9505
10.1119/1.4923458	0002-9505
10.1119/1.4934660	0002-9505
10.1119/1.4948608	0002-9505
10.1119/1.4953342	0002-9505
10.1119/1.4972493	0031-921X
10.1119/1.4974137	0031-921X
10.1119/1.4984802	0002-9505
10.1119/1.4994835	0002-9505
10.1119/1.5008337	0031-921X
10.1119/1.5021356	0002-9505
10.1119/1.879927	0031-921X
10.1119/1.879981	0031-921X
10.1119/1.880145	0031-921X
10.1119/1.880152	0031-921X
10.1119/1.880274	0031-921X
10.1119/1.880414	0031-921X
10.1119/1.9690	0002-9505
10.1119/1.9703	0002-9505
10.1119/1.9745	0002-9505
10.1119/1.9761	0002-9505
10.1119/1.9833	0002-9505
10.1119/1.9857	0002-9505
10.1119/1.9969	0002-9505
10.1120/jacmp.v10i4.3068	1526-9914
10.1120/jacmp.v12i4.3645	1526-9914
10.1120/jacmp.v17i3.6167	1526-9914
10.1121/1.1289206	0001-4966
10.1121/1.1290515	0001-4966
10.1121/1.1322018	0001-4966
10.1121/1.1323235	0001-4966
10.1121/1.1323456	0001-4966
10.1121/1.1323460	0001-4966
10.1121/1.1337959	0001-4966
10.1121/1.1339823	0001-4966
10.1121/1.1344160	0001-4966
10.1121/1.1354989	0001-4966
10.1121/1.1368406	0001-4966
10.1121/1.1371763	0001-4966
10.1121/1.1373442	0001-4966
10.1121/1.1376728	1529-7853
10.1121/1.1380437	0001-4966
10.1121/1.1385896	0001-4966
10.1121/1.1402616	0001-4966
10.1121/1.1406160	0001-4966
10.1121/1.1414883	0001-4966
10.1121/1.1416671	1529-7853
10.1121/1.1451073	0001-4966
10.1121/1.1458024	0001-4966
10.1121/1.1458026	0001-4966
10.1121/1.1466873	0001-4966
10.1121/1.1472336	1529-7853
10.1121/1.1480835	0001-4966
10.1121/1.1564019	0001-4966
10.1121/1.1573637	0001-4966
10.1121/1.1586258	0001-4966
10.1121/1.1588271	1529-7853
10.1121/1.1588271&prog=normal	null
10.1121/1.1612483	0001-4966
10.1121/1.1633559	0001-4966
10.1121/1.1639908	0001-4966
10.1121/1.1650330	0001-4966
10.1121/1.1690082	0001-4966
10.1121/1.1755236	0001-4966
10.1121/1.1763972	0001-4966
10.1121/1.1788726	0001-4966
10.1121/1.1791718	0001-4966
10.1121/1.1804625	0001-4966
10.1121/1.1815133	0001-4966
10.1121/1.1828501	0001-4966
10.1121/1.1828551	0001-4966
10.1121/1.1828552	0001-4966
10.1121/1.1835508	0001-4966
10.1121/1.1853235	0001-4966
10.1121/1.1854651	0001-4966
10.1121/1.1894649	0001-4966
10.1121/1.1901757	1529-7853
10.1121/1.1902056	0001-4966
10.1121/1.1903388	0001-4966
10.1121/1.1904305	0001-4966
10.1121/1.1906536	0001-4966
10.1121/1.1906583	0001-4966
10.1121/1.1906584	0001-4966
10.1121/1.1906665	0001-4966
10.1121/1.1906681	0001-4966
10.1121/1.1906719	0001-4966
10.1121/1.1906719&prog=normal&bypassSSO=1	null
10.1121/1.1906746	0001-4966
10.1121/1.1906851	0001-4966
10.1121/1.1906904	0001-4966
10.1121/1.1907038	0001-4966
10.1121/1.1907169	0001-4966
10.1121/1.1907229	0001-4966
10.1121/1.1907260	0001-4966
10.1121/1.1907309	0001-4966
10.1121/1.1907351	0001-4966
10.1121/1.1907379	0001-4966
10.1121/1.1907415	0001-4966
10.1121/1.1907637	0001-4966
10.1121/1.1907654	0001-4966
10.1121/1.1907767	0001-4966
10.1121/1.1907816	0001-4966
10.1121/1.1907828	0001-4966
10.1121/1.1907853	0001-4966
10.1121/1.1907949	0001-4966
10.1121/1.1907951;jsessionid=dxmbnr39rhto.x-aip-live-02	null
10.1121/1.1907975	0001-4966
10.1121/1.1908239	0001-4966
10.1121/1.1908241	0001-4966
10.1121/1.1908346	0001-4966
10.1121/1.1908437	0001-4966
10.1121/1.1908441	0001-4966
10.1121/1.1908465	0001-4966
10.1121/1.1908510	0001-4966
10.1121/1.1908524	0001-4966
10.1121/1.1908603	0001-4966
10.1121/1.1908630	0001-4966
10.1121/1.1908634	0001-4966
10.1121/1.1908635	0001-4966
10.1121/1.1908677	0001-4966
10.1121/1.1908697	0001-4966
10.1121/1.1908699	0001-4966
10.1121/1.1908737	0001-4966
10.1121/1.1908788	0001-4966
10.1121/1.1908803	0001-4966
10.1121/1.1908963	0001-4966
10.1121/1.1909020	0001-4966
10.1121/1.1909096	0001-4966
10.1121/1.1909130	0001-4966
10.1121/1.1909356	0001-4966
10.1121/1.1909408	0001-4966
10.1121/1.1909465	0001-4966
10.1121/1.1909473	0001-4966
10.1121/1.1909541	0001-4966
10.1121/1.1909588	0001-4966
10.1121/1.1909629	0001-4966
10.1121/1.1909741	0001-4966
10.1121/1.1909767	0001-4966
10.1121/1.1909769	0001-4966
10.1121/1.1909858	0001-4966
10.1121/1.1910092	0001-4966
10.1121/1.1910245	0001-4966
10.1121/1.1910651	0001-4966
10.1121/1.1910894	0001-4966
10.1121/1.1910900	0001-4966
10.1121/1.1910976	0001-4966
10.1121/1.1911053	0001-4966
10.1121/1.1911233	0001-4966
10.1121/1.1911699	0001-4966
10.1121/1.1911708	0001-4966
10.1121/1.1911801	0001-4966
10.1121/1.1911837	0001-4966
10.1121/1.1912065	0001-4966
10.1121/1.1912110	0001-4966
10.1121/1.1912174	0001-4966
10.1121/1.1912179	0001-4966
10.1121/1.1912227	0001-4966
10.1121/1.1912240	0001-4966
10.1121/1.1912381	0001-4966
10.1121/1.1912752	0001-4966
10.1121/1.1913238	0001-4966
10.1121/1.1913264	0001-4966
10.1121/1.1913343	0001-4966
10.1121/1.1913427	0001-4966
10.1121/1.1914084	0001-4966
10.1121/1.1914448	0001-4966
10.1121/1.1914503	0001-4966
10.1121/1.1914566	0001-4966
10.1121/1.1914584	0001-4966
10.1121/1.1914605	0001-4966
10.1121/1.1914607	0001-4966
10.1121/1.1915883	0001-4966
10.1121/1.1915891	0001-4966
10.1121/1.1915893	0001-4966
10.1121/1.1915897	0001-4966
10.1121/1.1915904	0001-4966
10.1121/1.1915919	0001-4966
10.1121/1.1915935	0001-4966
10.1121/1.1915985	0001-4966
10.1121/1.1916017	0001-4966
10.1121/1.1916056	0001-4966
10.1121/1.1916407	0001-4966
10.1121/1.1916561	0001-4966
10.1121/1.1917190	0001-4966
10.1121/1.1917296	0001-4966
10.1121/1.1917306	0001-4966
10.1121/1.1917501	0001-4966
10.1121/1.1917759	0001-4966
10.1121/1.1918025	0001-4966
10.1121/1.1918187	0001-4966
10.1121/1.1918237	0001-4966
10.1121/1.1918243	0001-4966
10.1121/1.1918257	0001-4966
10.1121/1.1918366	0001-4966
10.1121/1.1918519	0001-4966
10.1121/1.1918525	0001-4966
10.1121/1.1918626	0001-4966
10.1121/1.1918804	0001-4966
10.1121/1.1919031	0001-4966
10.1121/1.1919064	0001-4966
10.1121/1.1919209	0001-4966
10.1121/1.1919233	0001-4966
10.1121/1.1919362	0001-4966
10.1121/1.1919373	0001-4966
10.1121/1.1919587	0001-4966
10.1121/1.1919989	0001-4966
10.1121/1.1923349	0001-4966
10.1121/1.1928003	0001-4966
10.1121/1.1930368	0001-4966
10.1121/1.1936718	0001-4966
10.1121/1.1936737	0001-4966
10.1121/1.1936738	0001-4966
