10.1145/332186.332210	null
10.1145/332198.332202	1528-4972
10.1145/332833.332843	0001-0782
10.1145/333329.333344	0736-6906
10.1145/333424.333433	1528-4972
10.1145/333623.333627	0163-5700
10.1145/33447.33448	0001-0782
10.1145/334714.334715	0163-5824
10.1145/335191.335388	0163-5808
10.1145/335191.335420	0163-5808
10.1145/335305.335314	null
10.1145/335305.335325	null
10.1145/335305.335345	null
10.1145/335527.335528	1559-6915
10.1145/336296.336304	null
10.1145/336296.336354	null
10.1145/336512.336523	null
10.1145/336512.336546	null
10.1145/336597.336620	null
10.1145/336597.336667	null
10.1145/336992.336995	null
10.1145/337180.337209	null
10.1145/337180.337228	null
10.1145/337244.337255	0004-5411
10.1145/337271.337274	1527-6805
10.1145/337292.337617	null
10.1145/339331.339337	null
10.1145/339331.339426	null
10.1145/340000/336553/p189-pooley.pdf	null
10.1145/340396.340450	1094-3641
10.1145/340855.340889	0163-5948
10.1145/341852.341865	0001-0782
10.1145/342001.339652	0163-5964
10.1145/342009.335372	null
10.1145/342009.335391	null
10.1145/342009.335437	null
10.1145/343369.343384	1529-3785
10.1145/344779.344835	null
10.1145/344779.344855	null
10.1145/344779.344940	null
10.1145/344949.345004	1073-0516
10.1145/345370.345399	0097-8930
10.1145/345508.345578	null
10.1145/345966.346033	0360-0300
10.1145/346048.346050	0163-5700
10.1145/346048.568464	0163-5700
10.1145/347059.347560	null
10.1145/347090.347122	null
10.1145/347090.347123	null
10.1145/347324.349016	null
10.1145/347476.347484	0004-5411
10.1145/347792.347801	1084-6654
10.1145/347823.347828	1049-3301
10.1145/347837.347842	0098-3500
10.1145/348210.1042072	0163-5700
10.1145/349214.349233	0164-0925
10.1145/349299.349303	null
10.1145/350000/347164/p340-yi.pdf	null
10.1145/35037.35059	0734-2071
10.1145/350391.350432	null
10.1145/35043.35046	0001-0782
10.1145/35068.35069	0730-0301
10.1145/350752.350756	1523-8822
10.1145/351006.351018	null
10.1145/351440.351452	0097-8930
10.1145/351827.384254	1084-6654
10.1145/351827.384257	1084-6654
10.1145/352222.352224	1049-3301
10.1145/352871.352872	null
10.1145/352871.352883	null
10.1145/353171.353186	null
10.1145/353360.353362	0001-0782
10.1145/353474.354105	0098-3500
10.1145/354401.354406	null
10.1145/354401.354427	null
10.1145/354666.354667	null
10.1145/354756.354819	null
10.1145/354876.354877	1094-9224
10.1145/355112.355122	0001-0782
10.1145/355483.355488	0004-5411
10.1145/355541.355547	0004-5411
10.1145/355541.355554	0004-5411
10.1145/355541.355562	0004-5411
10.1145/355578.366316	0001-0782
10.1145/355578.366503	0001-0782
10.1145/355578.366521	0001-0782
10.1145/355580.369093	0001-0782
10.1145/355580.369102	0001-0782
10.1145/355580.369128	0001-0782
10.1145/355586.364791	0001-0782
10.1145/355586.364796	0001-0782
10.1145/355588.365103	0001-0782
10.1145/355588.365104	0001-0782
10.1145/355588.365137	0001-0782
10.1145/355588.365140	0001-0782
10.1145/355592.365646	0001-0782
10.1145/355598.362773	0001-0782
10.1145/355602.361306	0001-0782
10.1145/355604.361591	0001-0782
10.1145/355611.362534	0001-0782
10.1145/355611.362544	0001-0782
10.1145/355616.364017	0001-0782
10.1145/355620.361161	0001-0782
10.1145/355656.355660	0098-3500
10.1145/355705.355707	0098-3500
10.1145/355744.355745	0098-3500
10.1145/355744.355749	0098-3500
10.1145/355744.355750	0098-3500
10.1145/355791.355799	0098-3500
10.1145/355826.355828	0098-3500
10.1145/355841.355847	0098-3500
10.1145/355984.355988	0098-3500
10.1145/355993.355997	0098-3500
10.1145/356004.356005	0098-3500
10.1145/356004.356006	0098-3500
10.1145/356012.356020	0098-3500
10.1145/356022.356030	0098-3500
10.1145/356022.356032	0098-3500
10.1145/356044.356047	0098-3500
10.1145/356540.356542	0360-0300
10.1145/356546.356548	0360-0300
10.1145/356551.356553	0360-0300
10.1145/356571.356573	0360-0300
10.1145/356586.356588	0360-0300
10.1145/356589.356591	0360-0300
10.1145/356625.356626	0360-0300
10.1145/356625.356627	0360-0300
10.1145/356635.356640	0360-0300
10.1145/356651.356652	0360-0300
10.1145/356662.356664	0360-0300
10.1145/356678.356680	0360-0300
10.1145/356678.356682	0360-0300
10.1145/356683.356688	0360-0300
10.1145/356689.356692	0360-0300
10.1145/356698.356702	0360-0300
10.1145/356725.356729	0360-0300
10.1145/356733.356735	0360-0300
10.1145/356744.356750	0360-0300
10.1145/356770.356776	0360-0300
10.1145/356810.356816	0360-0300
10.1145/356819.356820	0360-0300
10.1145/356850.356852	0360-0300
10.1145/356869.356872	0360-0300
10.1145/356876.356881	0360-0300
10.1145/356887.356890	0360-0300
10.1145/356887.356892	0360-0300
10.1145/356893.356897	0360-0300
10.1145/356914.356918	0360-0300
10.1145/356924.356929	0360-0300
10.1145/356924.356930	0360-0300
10.1145/357062.357071	0164-0925
10.1145/357084.357090	0164-0925
10.1145/357114.357116	0164-0925
10.1145/357162.357164	0164-0925
10.1145/357162.357169	0164-0925
10.1145/357172.357176	0164-0925
10.1145/357195.357200	0164-0925
10.1145/357299.357300	0730-0301
10.1145/357306.357308	0730-0301
10.1145/357306.357310	0730-0301
10.1145/357318.357320	0730-0301
10.1145/357332.357336	0730-0301
10.1145/357337.357341	0730-0301
10.1145/357360.357365	0734-2071
10.1145/357360.357368	0734-2071
10.1145/357401.357402	0734-2071
10.1145/357401.357404	0734-2071
10.1145/357489.357511	0001-0782
10.1145/357783.331677	1528-4972
10.1145/357830.357849	1094-9224
10.1145/357980.358015	0001-0782
10.1145/358027.358042	0001-0782
10.1145/358141.358144	0001-0782
10.1145/358141.358147	0001-0782
