10.1159/000156047	1421-9980
10.1159/000156066	1421-9980
10.1159/000156070	1421-9980
10.1159/000156071	1421-9980
10.1159/000156082	1421-9980
10.1159/000156088	1421-9980
10.1159/000156129	1421-9980
10.1159/000156189	1421-9980
10.1159/000156197	1421-9980
10.1159/000156227	1421-9980
10.1159/000156247	1421-9980
10.1159/000156262	1421-9980
10.1159/000156299	1421-9980
10.1159/000156340	1421-9980
10.1159/000156353	1421-9980
10.1159/000156357	1421-9980
10.1159/000156379	1421-9980
10.1159/000156380	1421-9980
10.1159/000156392	1421-9980
10.1159/000156394	1421-9980
10.1159/000156428	1421-9980
10.1159/000156441	1421-9980
10.1159/000156442	1421-9980
10.1159/000156498	1421-9980
10.1159/000156511	1421-9980
10.1159/000156526	1421-9980
10.1159/000156531	1421-9980
10.1159/000156543	1421-9980
10.1159/000156551	1421-9980
10.1159/000156563	1421-9980
10.1159/000156574	1421-9980
10.1159/000156575	1421-9980
10.1159/000156600	1421-9980
10.1159/000156612	1421-9980
10.1159/000156629	1421-9980
10.1159/000156660	1421-9980
10.1159/000156749	0015-5713
10.1159/000156759	1421-9980
10.1159/000156853	1421-9980
10.1159/000156883	1421-9980
10.1159/000157226	1421-9980
10.1159/000157230	1421-9980
10.1159/000157883	0014-3022
10.1159/000157998	1423-0135
10.1159/000158505	1423-0135
10.1159/000158549	1421-9964
10.1159/000158727	1423-0135
10.1159/000158875	1661-4127
10.1159/000159231	1423-0135
10.1159/000160176	1015-2008
10.1159/000160182	1421-9662
10.1159/000161371	1015-2008
10.1159/000161403	1015-2008
10.1159/000161867	1663-2818
10.1159/000162769	1423-0291
10.1159/000163038	1423-0151
10.1159/000163090	1424-859X
10.1159/000163256	1423-0291
10.1159/000163662	1423-0291
10.1159/000163665	1423-0291
10.1159/000164032	1423-0291
10.1159/000164049	1423-0291
10.1159/000164123	1423-0291
10.1159/000164141	1423-0291
10.1159/000164879	0015-5713
10.1159/000165071	2296-5270
10.1159/000165114	1015-9770
10.1159/000165490	0008-6312
10.1159/000165697	1015-3837
10.1159/000165806	0008-6312
10.1159/000166827	1421-9670
10.1159/000167812	1424-8581
10.1159/000168756	1421-9670
10.1159/000168767	1421-9670
10.1159/000169032	1421-9670
10.1159/000169048	1421-9670
10.1159/000169109	1421-9670
10.1159/000169735	1421-9751
10.1159/000170892	0018-716X
10.1159/000171181	1421-9875
10.1159/000171452	0257-2753
10.1159/000171515	1421-9875
10.1159/000171585	0257-2753
10.1159/000173177	1423-0143
10.1159/000173206	1423-0143
10.1159/000173435	1423-0143
10.1159/000173566	1421-9751
10.1159/000173762	1423-0143
10.1159/000175332	0250-6807
10.1159/000175431	0250-6807
10.1159/000175595	1421-9697
10.1159/000175787	1421-9751
10.1159/000175819	1421-9751
10.1159/000176031	0042-1138
10.1159/000176049	0301-3073
10.1159/000176051	0301-3073
10.1159/000176054	0301-3073
10.1159/000176061	1662-4025
10.1159/000176278	1421-9697
10.1159/000176728	1421-9697
10.1159/000177644	1421-9697
10.1159/000177660	1421-9697
10.1159/000177854	1421-9697
10.1159/000177949	0008-6312
10.1159/000178023	0025-7931
10.1159/000178142	1423-0380
10.1159/000178153	1015-2008
10.1159/000178495	1424-6074
10.1159/000178759	1015-3837
10.1159/000178868	1660-5527
10.1159/000178871	1424-3903
10.1159/000179067	1423-0046
10.1159/000179365	1423-0046
10.1159/000179982	1423-0046
10.1159/000180038	1423-0046
10.1159/000180267	1021-7401
10.1159/000180314	0014-3022
10.1159/000180416	1660-8151
10.1159/000180580	1423-0186
10.1159/000180948	1423-0046
10.1159/000180949	1423-0046
10.1159/000181144	1662-811X
10.1159/000181147	0025-7931
10.1159/000181158	0001-5652
10.1159/000181181	1662-811X
10.1159/000181183	0001-5792
10.1159/000181315	1423-0046
10.1159/000181316	1423-0046
10.1159/000181665	1423-0186
10.1159/000182149	1423-0046
10.1159/000182393	1423-0046
10.1159/000182546	1423-0046
10.1159/000182597	1423-0046
10.1159/000182638	1660-8151
10.1159/000183235	1660-8151
10.1159/000183366	1660-8151
10.1159/000184157	1423-0046
10.1159/000184539	1021-7762
10.1159/000184676	1423-0046
10.1159/000184692	1424-8581
10.1159/000184716	1424-8581
10.1159/000184765	1423-0046
10.1159/000184780	1423-0046
10.1159/000184783	1423-0046
10.1159/000184787	1423-0046
10.1159/000184792	1423-0046
10.1159/000184834	1423-0046
10.1159/000185057	1660-8151
10.1159/000185101	1423-0046
10.1159/000185476	1423-0046
10.1159/000185699	1660-8151
10.1159/000185748	1660-8151
10.1159/000186501	0251-5350
10.1159/000187054	1660-8151
10.1159/000187985	1660-8151
10.1159/000188338	1421-9778
10.1159/000188464	1660-8151
10.1159/000188540	1660-8151
10.1159/000188788	0025-7931
10.1159/000188848	1660-8151
10.1159/000189204	1015-9770
10.1159/000190304	1423-0186
10.1159/000190428	0014-3022
10.1159/000190722	0014-3022
10.1159/000190777	0014-3022
10.1159/000190790	0033-3190
10.1159/000190975	0012-2823
10.1159/000192224	0025-7931
10.1159/000193025	1661-3791
10.1159/000193637	0025-7931
10.1159/000194412	1423-0356
10.1159/000195678	1661-5425
10.1159/000195715	0025-7931
10.1159/000195848	0025-7931
10.1159/000195943	0025-7931
10.1159/000195969	0025-7931
10.1159/000196302	0025-7931
10.1159/000196379	1662-4025
10.1159/000196517	0025-7931
10.1159/000196883	1661-7800
10.1159/000197025	0012-2823
10.1159/000197321	1660-3796
10.1159/000197886	1660-4431
10.1159/000197886&typ=pdf	null
10.1159/000197888	1660-4431
10.1159/000197888&typ=pdf	null
