10.1186/1478-1336-1-6	1478-1336
10.1186/1478-1336-2-3	1478-1336
10.1186/1478-4491-10-7	1478-4491
10.1186/1478-4491-11-56	1478-4491
10.1186/1478-4491-3-3	1478-4491
10.1186/1478-4491-5-22	1478-4491
10.1186/1478-4491-5-27	1478-4491
10.1186/1478-4491-6-5	1478-4491
10.1186/1478-4491-7-28	1478-4491
10.1186/1478-4491-7-34	1478-4491
10.1186/1478-4491-7-43	1478-4491
10.1186/1478-4491-7-48	1478-4491
10.1186/1478-4491-8-19	1478-4491
10.1186/1478-4491-9-16	1478-4491
10.1186/1478-4491-9-3	1478-4491
10.1186/1478-4491-9-6	1478-4491
10.1186/1478-4505-6-4	1478-4505
10.1186/1478-4505-7-16	1478-4505
10.1186/1478-4505-7-8	1478-4505
10.1186/1478-4505-8-3	1478-4505
10.1186/1478-4505-8-4	1478-4505
10.1186/1478-4505-8-6	1478-4505
10.1186/1478-4505-9-12	1478-4505
10.1186/1478-4505-9-s1-s2	1478-4505
10.1186/1478-6354-13-S1-S5	null
10.1186/1478-7547-1-6	1478-7547
10.1186/1478-7547-1-8	1478-7547
10.1186/1478-7547-10-4	1478-7547
10.1186/1478-7547-2-4	1478-7547
10.1186/1478-7547-4-16	1478-7547
10.1186/1478-7954-12-5	1478-7954
10.1186/1478-7954-3-7	1478-7954
10.1186/1478-7954-6-1	1478-7954
10.1186/1478-7954-7-4	1478-7954
10.1186/1478-7954-8-26	1478-7954
10.1186/1478-7954-9-16	1478-7954
10.1186/1478-811X-10-27	1478-811X
10.1186/1478-811X-10-32	1478-811X
10.1186/1478-811X-10-34	1478-811X
10.1186/1478-811X-10-39	1478-811X
10.1186/1478-811X-11-23	1478-811X
10.1186/1478-811X-11-52	1478-811X
10.1186/1478-811X-11-97	1478-811X
10.1186/1478-811X-6-7	1478-811X
10.1186/1478-811X-7-22	1478-811X
10.1186/1478-811X-7-4	1478-811X
10.1186/1478-811X-7-7	1478-811X
10.1186/1478-811X-7-9	1478-811X
10.1186/1478-811X-8-12	1478-811X
10.1186/1478-811X-8-8	1478-811X
10.1186/1478-811X-9-18	1478-811X
10.1186/1478-811X-9-30	1478-811X
10.1186/1478-811x-8-11	1478-811X
10.1186/1478-811x-8-23	1478-811X
10.1186/1478-811x-8-8	1478-811X
