10.1525/aa.1940.42.2.02a00030	0002-7294
10.1525/aa.1940.42.2.02a00030/pdf	null
10.1525/aa.1940.42.3.02a00040	0002-7294
10.1525/aa.1940.42.3.02a00080	0002-7294
10.1525/aa.1940.42.3.02a00300	0002-7294
10.1525/aa.1940.42.4.02a00070	0002-7294
10.1525/aa.1941.43.1.02a00040	0002-7294
10.1525/aa.1941.43.1.02a00300	0002-7294
10.1525/aa.1941.43.2.02a00020	0002-7294
10.1525/aa.1941.43.2.02a00080	0002-7294
10.1525/aa.1941.43.2.02a00250	0002-7294
10.1525/aa.1941.43.3.02a00050	0002-7294
10.1525/aa.1941.43.4.02a00040	0002-7294
10.1525/aa.1942.44.1.02a00080	0002-7294
10.1525/aa.1942.44.4.02a00040	0002-7294
10.1525/aa.1942.44.4.02a00110	0002-7294
10.1525/aa.1943.45.1.02a00040	0002-7294
10.1525/aa.1943.45.1.02a00050	0002-7294
10.1525/aa.1943.45.1.02a00050/pdf	null
10.1525/aa.1943.45.3.02a00090	0002-7294
10.1525/aa.1943.45.3.02a00170/abstract	null
10.1525/aa.1943.45.3.02a00170/pdf	null
10.1525/aa.1944.46.2.02a00040/full	null
10.1525/aa.1945.47.1.02a00020	0002-7294
10.1525/aa.1945.47.1.02a00020/pdf	null
10.1525/aa.1945.47.1.02a00050	0002-7294
10.1525/aa.1945.47.1.02a00050/pdf	null
10.1525/aa.1945.47.3.02a00190	0002-7294
10.1525/aa.1946.48.1.02a00340	0002-7294
10.1525/aa.1946.48.2.02a00050/pdf	null
10.1525/aa.1946.48.3.02a00010	0002-7294
10.1525/aa.1947.49.3.02a00040	0002-7294
10.1525/aa.1947.49.3.02a00040/pdf	null
10.1525/aa.1947.49.4.02a00050	0002-7294
10.1525/aa.1948.50.1.02a00050	0002-7294
10.1525/aa.1948.50.1.02a00290	0002-7294
10.1525/aa.1948.50.3.02a00050/abstract	null
10.1525/aa.1948.50.4.02a00080/pdf	null
10.1525/aa.1949.51.1.02a00310	0002-7294
10.1525/aa.1949.51.1.02a00310/pdf	null
10.1525/aa.1949.51.2.02a00090	0002-7294
10.1525/aa.1949.51.2.02a00140	0002-7294
10.1525/aa.1949.51.2.02a00210	0002-7294
10.1525/aa.1949.51.2.02a00260	0002-7294
10.1525/aa.1949.51.4.02a00050	0002-7294
10.1525/aa.1950.52.2.02a00140	0002-7294
10.1525/aa.1950.52.2.02a00190	0002-7294
10.1525/aa.1951.53.1.02a00030	0002-7294
10.1525/aa.1951.53.1.02a00060	0002-7294
10.1525/aa.1951.53.1.02a00370	0002-7294
10.1525/aa.1951.53.4.02a00040	0002-7294
10.1525/aa.1951.53.4.02a00070	0002-7294
10.1525/aa.1952.54.2.02a00060	0002-7294
10.1525/aa.1952.54.3.02a00040	0002-7294
10.1525/aa.1952.54.3.02a00080	0002-7294
10.1525/aa.1953.55.1.02a00180	0002-7294
10.1525/aa.1953.55.3.02a00020	0002-7294
10.1525/aa.1953.55.3.02a00020/abstract	null
10.1525/aa.1953.55.5.02a00340	0002-7294
10.1525/aa.1953.55.5.02a00340/asset/aa.1953.55.5.02a00340.pdf;jsessionid	null
10.1525/aa.1954.56.1.02a00060	0002-7294
10.1525/aa.1954.56.1.02a00060/abstract	null
10.1525/aa.1954.56.2.02a00660	0002-7294
10.1525/aa.1954.56.3.02a00020/pdf	null
10.1525/aa.1954.56.4.02a00180	0002-7294
10.1525/aa.1954.56.5.02a00160	0002-7294
10.1525/aa.1954.56.5.02a00160/pdf	null
10.1525/aa.1954.56.6.02a00090	0002-7294
10.1525/aa.1954.56.6.02a00090/epdf	null
10.1525/aa.1954.56.6.02a00110	0002-7294
