10.2165/11317030-000000000-00000	0012-6667
10.2165/11317180-000000000-00000	0312-5963
10.2165/11317350-000000000-00000	0312-5963
10.2165/11317550-000000000-00000	0312-5963
10.2165/11317580-000000000-00000	0312-5963
10.2165/11318080-000000000-00000	0312-5963
10.2165/11318340-000000000-00000	1170-229X
10.2165/11318370	null
10.2165/11318500-000000000-00000	0012-6667
10.2165/11319070-000000000-00000	0114-5916
10.2165/11319230-000000000-00000	0012-6667
10.2165/11319280-000000000-00000	1175-0561
10.2165/11319400-000000000-00000	1173-2563
10.2165/11319480-000000000-00000	1172-7047
10.2165/11319740-000000000-00000	0112-1642
10.2165/11319780-000000000-00000	1173-2563
10.2165/11319860-000000000-00000	0114-5916
10.2165/11530080-000000000-00000	1175-0561
10.2165/11530260-000000000-00000	1172-7047
10.2165/11530280-000000000-00000	1172-7047
10.2165/11530310-000000000-00000	0112-1642
10.2165/11530750-000000000-00000	0112-1642
10.2165/11530960-000000000-00000	1173-8804
10.2165/11531690-000000000-00000	1175-0561
10.2165/11531950-000000000-00000	0112-1642
10.2165/11531970-000000000-00000	0112-1642
10.2165/11532130-000000000-00000	0012-6667
10.2165/11532260-000000000-00000	1173-2563
10.2165/11532860-000000000-00000	1174-5878
10.2165/11532990-000000000-00000	0312-5963
10.2165/11533070-000000000-00000	0012-6667
10.2165/11533140-000000000-00000	1172-7047
10.2165/11533190-000000000-00000	1175-0561
10.2165/11533220-000000000-00000	1175-0561
10.2165/11533650-000000000-00000	1175-3277
10.2165/11533670-000000000-00000	0112-1642
10.2165/11533740-000000000-00000	1172-7047
10.2165/11534420-000000000-00000	1172-7047
10.2165/11534430-000000000-00000	0012-6667
10.2165/11534440-000000000-00000	0012-6667
10.2165/11534750-000000000-00000	0312-5963
10.2165/11534910-000000000-00000	1174-5878
10.2165/11534920-000000000-00000	1172-7047
10.2165/11535590-000000000-00000	1178-1653
10.2165/11536150-000000000-00000	1170-7690
10.2165/11536160-000000000-00000	1170-7690
10.2165/11536200-000000000-00000	0312-5963
10.2165/11536230-000000000-00000	1172-7047
10.2165/11536360-000000000-00000	0114-5916
10.2165/11536770-000000000-00000	null
10.2165/11536840-000000000-00000	0114-5916
10.2165/11536870-000000000-00000	0112-1642
10.2165/11536910-000000000-00000	0112-1642
10.2165/11536930-000000000-00000	1175-0561
10.2165/11536990-000000000-00000	1175-5652
10.2165/11537540-000000000-00000	0112-1642
10.2165/11537580-000000000-00000	1170-7690
10.2165/11537730-000000000-00000	1174-5886
10.2165/11537990-000000000-00000	0012-6667
10.2165/11538180-000000000-00000	0012-6667
10.2165/11538560-000000000-00000	0112-1642
10.2165/11538650-000000000-00000	1170-229X
10.2165/1153874-S0-000000000-00000	1175-0561
10.2165/1153875-S0-000000000-00000	1175-0561
10.2165/11539690-000000000-00000	0112-1642
10.2165/11539790-000000000-00000	null
10.2165/11583940-000000000-00000	0112-1642
10.2165/11584260-000000000-00000	1172-7047
10.2165/11584750-000000000-00000	0114-5916
10.2165/11586000-000000000-00000	1172-7047
10.2165/11586070-000000000-00000	0112-1642
10.2165/11586310-000000000-00000	1174-5886
