10.2307/1522044	1524-4695
10.2307/1522158	1524-4695
10.2307/1522162	1524-4695
10.2307/1522218	1524-4695
10.2307/1522219	1524-4695
10.2307/1522244	1524-4695
10.2307/1522594	1423-0526
10.2307/1522637	1423-0526
10.2307/1522654	1423-0526
10.2307/1522666	1423-0526
10.2307/152275	null
10.2307/1522772	1556-8725
10.2307/1522800	1556-8725
10.2307/1522815	1556-8725
10.2307/1522838	1533-6077
10.2307/1522912	1533-6077
10.2307/1523043	1533-6077
10.2307/1523083	0732-2992
10.2307/1523084	0732-2992
10.2307/1523086	0732-2992
10.2307/1523097	0732-2992
10.2307/1523102	0732-2992
10.2307/1523103	0732-2992
10.2307/1523138	0732-2992
10.2307/1523154	0732-2992
10.2307/1523156	0732-2992
10.2307/1523166	0732-2992
10.2307/1523181	0732-2992
10.2307/1523182	0732-2992
10.2307/1523195	0732-2992
10.2307/1523201	0732-2992
10.2307/1523219	0732-2992
10.2307/1523236	0732-2992
10.2307/1523237	0732-2992
10.2307/1523242	0732-2992
10.2307/1523243	0732-2992
10.2307/1523262	0732-2992
10.2307/1523266	0732-2992
10.2307/1523290	0732-2992
10.2307/1523325	null
10.2307/1525447	0032-4663
10.2307/15263	null
10.2307/1526433	0032-4663
10.2307/1527492	0032-4663
10.2307/1528380	0032-4663
10.2307/1530481	0032-4663
10.2307/1531855	0032-4663
10.2307/1532733	0032-4663
10.2307/1535422	0898-1051
10.2307/1535460	0898-1051
10.2307/1535510	0006-3185
10.2307/1535527	0006-3185
10.2307/1535537	0006-3185
10.2307/1535568	0006-3185
10.2307/1535630	0006-3185
10.2307/1535645	0006-3185
10.2307/1535667	0006-3185
10.2307/1535681	0006-3185
10.2307/1535694	0006-3185
10.2307/1535753	0006-3185
10.2307/1536068	0006-3185
10.2307/1536147	0006-3185
10.2307/1536322	0006-3185
10.2307/1536346	0006-3185
10.2307/1536460	0006-3185
10.2307/1536473	0006-3185
10.2307/1536484	0006-3185
10.2307/1536488	0006-3185
10.2307/1536491	0006-3185
10.2307/1536521	0006-3185
10.2307/1536528	0006-3185
10.2307/1536540	0006-3185
10.2307/1536620	0006-3185
10.2307/1536659	0006-3185
10.2307/1536729	0006-3185
10.2307/1536736	0006-3185
10.2307/1536748	0006-3185
10.2307/1537047	0006-3185
10.2307/1537248	0006-3185
10.2307/1537255	0006-3185
10.2307/1537420	0006-3185
10.2307/1537426	0006-3185
10.2307/1537517	0006-3185
10.2307/1537536	0006-3185
10.2307/1537563	0006-3185
10.2307/1537901	0006-3185
10.2307/1537967	0006-3185
10.2307/1538013	0006-3185
10.2307/1538058	0006-3185
10.2307/1538062	0006-3185
10.2307/1538166	0006-3185
10.2307/1538196	0006-3185
10.2307/1538227	0006-3185
10.2307/1538246	0006-3185
10.2307/1538279	0006-3185
10.2307/1538357	0006-3185
10.2307/1538368	0006-3185
10.2307/1538400	0006-3185
10.2307/1538411	0006-3185
10.2307/1538443	0006-3185
10.2307/1538496	0006-3185
10.2307/1538642	0006-3185
10.2307/1538675	0006-3185
10.2307/1538691	0006-3185
10.2307/1538698	0006-3185
10.2307/1538737	0006-3185
10.2307/1538742	0006-3185
10.2307/1538806	0006-3185
10.2307/1539111	0006-3185
10.2307/1539198	0006-3185
10.2307/1539207	0006-3185
10.2307/1539265	0006-3185
10.2307/1539325	0006-3185
10.2307/1539346	0006-3185
10.2307/1539426	0006-3185
10.2307/1539622	0006-3185
10.2307/1539668	0006-3185
10.2307/1539738	0006-3185
10.2307/1539745	0006-3185
10.2307/1539781	0006-3185
10.2307/1539994	0006-3185
10.2307/1540026	0006-3185
10.2307/1540045	0006-3185
10.2307/1540065	0006-3185
10.2307/1540131	0006-3185
10.2307/1540143	0006-3185
10.2307/1540289	0006-3185
10.2307/1540339	0006-3185
10.2307/1540506	0006-3185
10.2307/1540509	0006-3185
10.2307/1540543	0006-3185
10.2307/1540571	0006-3185
10.2307/1540609	0006-3185
10.2307/1540704	0006-3185
10.2307/1540715	0006-3185
10.2307/1540759	0006-3185
10.2307/1540788	0006-3185
10.2307/1540804	0006-3185
10.2307/1540864	0006-3185
10.2307/1540876	0006-3185
10.2307/1540958	0006-3185
10.2307/1540973	0006-3185
10.2307/1540974	0006-3185
10.2307/1540983	0006-3185
10.2307/1541058	0006-3185
10.2307/1541105	0006-3185
10.2307/1541114	0006-3185
10.2307/1541212	0006-3185
10.2307/1541248	0006-3185
10.2307/1541258	0006-3185
10.2307/1541259	0006-3185
10.2307/1541261	0006-3185
10.2307/1541277	0006-3185
10.2307/1541328	0006-3185
10.2307/1541391	0006-3185
10.2307/1541392	0006-3185
10.2307/1541413	0006-3185
10.2307/1541442	0006-3185
10.2307/1541497	0006-3185
10.2307/1541585	0006-3185
10.2307/1541587	0006-3185
10.2307/1541614	0006-3185
10.2307/1541701	0006-3185
10.2307/1541716	0006-3185
10.2307/1541731	0006-3185
10.2307/1541732	0006-3185
10.2307/1541754	0006-3185
10.2307/1541825	0006-3185
10.2307/1541830	0006-3185
10.2307/1541868	0006-3185
10.2307/1541869	0006-3185
10.2307/1541903	0006-3185
10.2307/1541956	0006-3185
10.2307/1541959	0006-3185
10.2307/1541971	0006-3185
10.2307/1542006	0006-3185
10.2307/1542017	0006-3185
10.2307/1542028	0006-3185
10.2307/1542033	0006-3185
10.2307/1542036	0006-3185
10.2307/1542087	0006-3185
10.2307/1542090	0006-3185
10.2307/1542095	0006-3185
10.2307/1542096	0006-3185
10.2307/1542110	0006-3185
10.2307/1542153	0006-3185
10.2307/1542160	0006-3185
10.2307/1542194	0006-3185
10.2307/1542225	0006-3185
10.2307/1542279	0006-3185
10.2307/1542326	0006-3185
10.2307/1542337	0006-3185
10.2307/1542367	0006-3185
10.2307/1542380	0006-3185
10.2307/1542401	0006-3185
10.2307/1542413	0006-3185
10.2307/1542430	0006-3185
10.2307/1542439	0006-3185
10.2307/1542482	0006-3185
10.2307/1542496	0006-3185
10.2307/1542503	0006-3185
10.2307/1542526	0006-3185
10.2307/1542531	0006-3185
10.2307/1542583	0006-3185
10.2307/1542658	0006-3185
10.2307/1542669	0006-3185
10.2307/1542689	0006-3185
10.2307/1542694	0006-3185
10.2307/1542708	0006-3185
10.2307/1542709	0006-3185
10.2307/1542731	0006-3185
10.2307/1542786	0006-3185
10.2307/1542805	0006-3185
10.2307/1542810	0006-3185
10.2307/1542829	0006-3185
10.2307/1542863	0006-3185
10.2307/1542886	0006-3185
10.2307/1542957	0006-3185
10.2307/1542973	0006-3185
10.2307/1542994	0006-3185
10.2307/1543017	0006-3185
10.2307/1543022	0006-3185
10.2307/1543048	0006-3185
10.2307/1543051	0006-3185
10.2307/1543072	0006-3185
10.2307/1543081	0006-3185
10.2307/1543086	0006-3185
10.2307/1543089	0006-3185
10.2307/1543150	0006-3185
10.2307/1543186	0006-3185
10.2307/1543198	0006-3185
10.2307/1543217	0006-3185
10.2307/1543229	0006-3185
10.2307/1543231	0006-3185
10.2307/1543233	0006-3185
10.2307/1543292	0006-3185
10.2307/1543298	0006-3185
10.2307/1543299	0006-3185
10.2307/1543306	0006-3185
10.2307/1543311	0006-3185
10.2307/1543312	0006-3185
10.2307/1543334	0006-3185
10.2307/1543397	0006-3185
10.2307/1543439	0006-3185
10.2307/1543446	0006-3185
10.2307/1543461	0006-3185
10.2307/1543482	0006-3185
10.2307/1543491	0006-3185
10.2307/1543496	0006-3185
10.2307/1543497	0006-3185
10.2307/1543512	0006-3185
10.2307/1543514	0006-3185
10.2307/1543555	0006-3185
10.2307/1543560	0006-3185
10.2307/1543562	0006-3185
10.2307/1543594	0006-3185
10.2307/1543609	0006-3185
10.2307/1543610	0006-3185
10.2307/1543614	0006-3185
10.2307/1543618	0006-3185
10.2307/1543624	0006-3185
10.2307/1543636	0006-3185
10.2307/1543654	0006-3185
10.2307/1543655	0006-3185
10.2307/1543680	0002-8444
10.2307/1543685	0002-8444
10.2307/1543797	0002-8444
10.2307/1543831	0002-8444
10.2307/1543840	0002-8444
10.2307/1543869	0002-8444
10.2307/1543887	0002-8444
10.2307/1543975	0002-8444
10.2307/1543991	0002-8444
10.2307/1544001	0002-8444
10.2307/1544052	0002-8444
10.2307/1544060	0002-8444
10.2307/1544094	0002-8444
10.2307/1544125	0002-8444
10.2307/1544210	0002-8444
10.2307/1544260	0002-8444
10.2307/1544303	0002-8444
10.2307/1544325	0002-8444
10.2307/1544372	0002-8444
10.2307/1544373	0002-8444
10.2307/1544458	0002-8444
10.2307/1544469	0002-8444
10.2307/1544557	0002-8444
10.2307/1544606	0002-8444
10.2307/1544662	0002-8444
10.2307/1544707	0002-8444
10.2307/1544780	0002-8444
10.2307/1544850	0002-8444
10.2307/1544897	0002-8444
10.2307/1544988	0002-8444
10.2307/1545050	0002-8444
10.2307/1545080	0002-8444
10.2307/1545106	0002-8444
10.2307/1545163	null
10.2307/1545165	null
10.2307/1545216	0002-8444
10.2307/1545239	0002-8444
10.2307/1545243	0002-8444
10.2307/1545333	0002-8444
10.2307/1545364	0002-8444
10.2307/1545391	0002-8444
10.2307/1545392	0002-8444
10.2307/1545406	0002-8444
10.2307/1545451	0002-8444
10.2307/1545452	0002-8444
10.2307/1545525	0002-8444
10.2307/1545572	0002-8444
10.2307/1545605	0002-8444
10.2307/1545695	0002-8444
10.2307/1545766	0002-8444
10.2307/1545932	0002-8444
10.2307/1546108	0002-8444
10.2307/1546136	0002-8444
10.2307/1546138	0002-8444
10.2307/1546175	0002-8444
10.2307/1546309	0002-8444
10.2307/1546353	0002-8444
10.2307/1546371	0002-8444
10.2307/1546391	0002-8444
10.2307/1546463	0002-8444
10.2307/1546521	0002-8444
10.2307/1546548	0002-8444
10.2307/1546553	0002-8444
10.2307/1546574	0002-8444
10.2307/1546598	0002-8444
10.2307/1546612	0002-8444
10.2307/1546733	0002-8444
10.2307/1546734	0002-8444
10.2307/1546743	0002-8444
10.2307/1546766	0002-8444
10.2307/1546827	0002-8444
10.2307/1546830	0002-8444
10.2307/1546943	0002-8444
10.2307/1547064	0002-8444
10.2307/1547180	0002-8444
10.2307/1547206	0002-8444
10.2307/1547233	0002-8444
10.2307/1547291	0002-8444
10.2307/1547317	0002-8444
10.2307/1547604	0002-8444
10.2307/1547607	0002-8444
10.2307/1547627	0002-8444
10.2307/1547719	0002-8444
10.2307/1547758	0002-8444
10.2307/1547774	0002-8444
10.2307/1547816	0002-8444
10.2307/1547849	0278-0372
10.2307/1547859	0278-0372
10.2307/1547860	0278-0372
10.2307/1547879	0278-0372
10.2307/1547892	0278-0372
10.2307/1547901	0278-0372
10.2307/1547908	0278-0372
10.2307/1547919	0278-0372
10.2307/1547965	0278-0372
10.2307/1547975	0278-0372
10.2307/1547984	0278-0372
10.2307/1548025	0278-0372
10.2307/1548030	0278-0372
10.2307/1548051	0278-0372
10.2307/1548079	0278-0372
10.2307/1548142	0278-0372
10.2307/1548173	0278-0372
10.2307/1548182	0278-0372
10.2307/1548195	0278-0372
10.2307/1548220	0278-0372
10.2307/1548221	0278-0372
10.2307/1548257	0278-0372
10.2307/1548276	0278-0372
10.2307/1548366	0278-0372
10.2307/1548395	0278-0372
10.2307/1548410	0278-0372
10.2307/1548413	0278-0372
10.2307/1548431	0278-0372
10.2307/1548454	0278-0372
10.2307/1548464	0278-0372
10.2307/1548493	0278-0372
10.2307/1548531	0278-0372
10.2307/1548592	0278-0372
