10.2307/2052772	0021-9118
10.2307/2052814	0021-9118
10.2307/20528819	null
10.2307/2052936	0021-9118
10.2307/2052956	0021-9118
10.2307/2053052	0021-9118
10.2307/2053053	0021-9118
10.2307/2053060	0021-9118
10.2307/2053080	0021-9118
10.2307/2053135	0021-9118
10.2307/2053177	0021-9118
10.2307/20532677	null
10.2307/20532677Reed	null
10.2307/2053271	0021-9118
10.2307/2053272	0021-9118
10.2307/2053325	0021-9118
10.2307/2053326	0021-9118
10.2307/2053328	0021-9118
10.2307/2053331	0021-9118
10.2307/2053469	0021-9118
10.2307/20535154	0002-9300
10.2307/2053677	0021-9118
10.2307/2053703	0021-9118
10.2307/2053720	0021-9118
10.2307/2053724	0021-9118
10.2307/2053812	0021-9118
10.2307/2053980	0021-9118
10.2307/2054049	0021-9118
10.2307/2054147	0021-9118
10.2307/2054162	0021-9118
10.2307/2054164	0021-9118
10.2307/2054272	0021-9118
10.2307/2054291	0021-9118
10.2307/20543107	2150-5969
10.2307/2054437	0021-9118
10.2307/2054453	0021-9118
10.2307/2054553	0021-9118
10.2307/2054724	0021-9118
10.2307/20547344	0033-4987
10.2307/2054798	0021-9118
10.2307/2054828	0021-9118
10.2307/2054840	0021-9118
10.2307/2054863	0021-9118
10.2307/2054940	0021-9118
10.2307/2054975	0021-9118
10.2307/205513	0022-1953
10.2307/2055256	0021-9118
10.2307/2055315	0021-9118
10.2307/2055321	0021-9118
10.2307/2055322	0021-9118
10.2307/2055365	0021-9118
10.2307/2055422	0021-9118
10.2307/2055445	0021-9118
10.2307/2055600	0021-9118
10.2307/2055601	0021-9118
10.2307/2055643	0021-9118
10.2307/2055644	0021-9118
10.2307/2055650	0021-9118
10.2307/20556929	null
10.2307/2055760	0021-9118
10.2307/20557751	null
10.2307/20557915	null
10.2307/2055842	0021-9118
10.2307/2055845	0021-9118
10.2307/2055882	0021-9118
10.2307/2055923	0021-9118
10.2307/2055957	0021-9118
10.2307/2055986	0021-9118
10.2307/2056014	0021-9118
10.2307/2056019	0021-9118
10.2307/2056073	0021-9118
10.2307/2056102	0021-9118
10.2307/2056168	0021-9118
10.2307/2056186	0021-9118
10.2307/2056276	0021-9118
10.2307/2056302	0021-9118
10.2307/2056409	0021-9118
10.2307/2056443	0021-9118
10.2307/2056467	0021-9118
10.2307/2056469	0021-9118
10.2307/2056623	0021-9118
10.2307/2056666	0021-9118
10.2307/2056667	0021-9118
10.2307/20567070	null
10.2307/20567088	null
10.2307/2056746	0021-9118
10.2307/2056747	0021-9118
10.2307/2056748	0021-9118
10.2307/20567643	null
10.2307/20568000	null
10.2307/20568233	null
10.2307/2056897	0021-9118
10.2307/2056899	0021-9118
10.2307/205693	0022-1953
10.2307/2056971	0021-9118
10.2307/2056974	0021-9118
10.2307/2057041	0021-9118
10.2307/2057101	0021-9118
10.2307/2057102	0021-9118
10.2307/2057148	0021-9118
10.2307/2057150	0021-9118
10.2307/20571689	null
10.2307/2057210	0021-9118
10.2307/2057356	0021-9118
10.2307/2057472	0021-9118
10.2307/2057587	0021-9118
10.2307/2057727	0021-9118
10.2307/2057853	0021-9118
10.2307/2057879	0021-9118
10.2307/2057883	0021-9118
10.2307/2057918	0021-9118
10.2307/2058032	0021-9118
10.2307/2058113	0021-9118
10.2307/2058236	0021-9118
10.2307/2058368;	null
10.2307/2058432	0021-9118
10.2307/2058433	0021-9118
10.2307/2058473	0021-9118
10.2307/2058479	0021-9118
10.2307/2058649	0021-9118
10.2307/205869	0022-1953
10.2307/2058743	0021-9118
10.2307/2058746	0021-9118
10.2307/2058783	0021-9118
10.2307/2058784	0021-9118
10.2307/20588478	null
10.2307/2058855	0021-9118
10.2307/2058873	0021-9118
10.2307/2059236	0021-9118
10.2307/2059304	0021-9118
10.2307/2059411	0021-9118
10.2307/2059528	0021-9118
10.2307/2059570	0021-9118
10.2307/2059648	0021-9118
10.2307/2059650	0021-9118
10.2307/2059651	0021-9118
10.2307/2059652	0021-9118
10.2307/2059671	0021-9118
10.2307/2059728	0021-9118
10.2307/2059840	0021-9118
10.2307/2059841	0021-9118
10.2307/2059842	0021-9118
10.2307/2059900	0021-9118
10.2307/2059957	0021-9118
10.2307/2059958	0021-9118
10.2307/2059966	0021-9118
10.2307/2060021	0070-3370
10.2307/2060159	0070-3370
10.2307/2060328	0070-3370
10.2307/2060400	0070-3370
10.2307/2060504	0070-3370
10.2307/2060606	0070-3370
10.2307/2060862	0070-3370
10.2307/2060884	0070-3370
10.2307/2060899	0070-3370
10.2307/2060909	0070-3370
10.2307/20609717	null
10.2307/206100	0022-1953
10.2307/20610207	null
10.2307/2061128	0070-3370
10.2307/20611546	null
10.2307/2061160	0070-3370
10.2307/2061224	0070-3370
10.2307/20613303	null
10.2307/2061350	0070-3370
10.2307/2061376	0070-3370
10.2307/2061419	0070-3370
10.2307/2061465	0070-3370
10.2307/20615186	null
10.2307/20615826	null
10.2307/206159	0022-1953
10.2307/20615958	null
10.2307/2061599	0070-3370
10.2307/2061645	0070-3370
10.2307/2061647	0070-3370
10.2307/206166	0022-1953
10.2307/2061678	0070-3370
10.2307/20616906	null
10.2307/2061699	0070-3370
10.2307/2061752	0070-3370
10.2307/2061780)	null
10.2307/2061784	0070-3370
10.2307/20617843	null
10.2307/2061790	0070-3370
10.2307/2061821	0070-3370
10.2307/2061822	0070-3370
10.2307/2061823	0070-3370
10.2307/2061853	0070-3370
10.2307/2061874	0070-3370
10.2307/2061908	0070-3370
10.2307/2061913	0070-3370
10.2307/20620672	null
10.2307/20622980	null
10.2307/20627246	null
10.2307/20627355	null
10.2307/20629237	0005-0091
10.2307/2062931	0094-3061
10.2307/20629436	0005-0091
10.2307/20629470	0005-0091
10.2307/20631114	0005-0091
10.2307/20631273	0005-0091
10.2307/2063256	0094-3061
10.2307/20633372	0005-0091
10.2307/20633968	0005-0091
10.2307/20634165	0005-0091
10.2307/20634762	0005-0091
10.2307/20635411	0005-0091
10.2307/20635729	0005-0091
10.2307/20635800	0005-0091
10.2307/20637627	2151-4186
10.2307/20637774	1443-3605
10.2307/2063837	0094-3061
10.2307/20639317	1053-9867
10.2307/20639550	1053-9867
10.2307/20639746	1053-9867
10.2307/206401	0022-1953
10.2307/2064132	0094-3061
10.2307/20644564	null
10.2307/2064782	0094-3061
10.2307/20647989	null
10.2307/20648167	null
10.2307/2065104	0094-3061
10.2307/20654436	null
10.2307/20661161	null
10.2307/2066177	0094-3061
10.2307/2066296	0094-3061
10.2307/2066333	0094-3061
10.2307/2066985	0094-3061
10.2307/20672716	null
10.2307/2067284	0094-3061
10.2307/2067381	0094-3061
10.2307/2068144	0094-3061
10.2307/20683428	null
10.2307/20686938	null
10.2307/20688233	null
10.2307/20690330	null
10.2307/2069217	0094-3061
10.2307/20692245	null
10.2307/20694208	null
10.2307/20695879	null
10.2307/20702370	null
10.2307/20703320	null
10.2307/20703426	null
10.2307/20704828	null
10.2307/2070652	0094-3061
10.2307/20707879	null
10.2307/20708122	null
10.2307/20708414	null
10.2307/2071177	0094-3061
10.2307/2071221	0094-3061
10.2307/2071458	0094-3061
10.2307/20721416	0276-7783
10.2307/20723118	null
10.2307/20723144	null
10.2307/2072606	0094-3061
10.2307/207291	0016-7428
10.2307/207325	0016-7428
10.2307/2073343	0094-3061
10.2307/20736513	null
10.2307/20736796	null
10.2307/20737397	null
10.2307/2074061	0094-3061
10.2307/2074241	0094-3061
10.2307/2074664	0094-3061
10.2307/2074808	0094-3061
10.2307/207514	0016-7428
10.2307/20753419	null
10.2307/2075432	0094-3061
10.2307/2075528	0094-3061
10.2307/2075674	0094-3061
10.2307/2075699	0094-3061
10.2307/207575	0016-7428
10.2307/2075881	0094-3061
10.2307/207631	0016-7428
10.2307/2076410	0094-3061
10.2307/2076521	0094-3061
10.2307/2076536	0094-3061
10.2307/2077159	0094-3061
10.2307/2077248	0094-3061
10.2307/207761	0016-7428
10.2307/2077767	0022-2879
10.2307/2077783	0022-2879
10.2307/2077790	0022-2879
10.2307/2077848	0022-2879
10.2307/2077946	0022-2879
10.2307/2078080	0021-8723
10.2307/2078081	0021-8723
10.2307/2078085	0021-8723
10.2307/2078086	0021-8723
10.2307/2078087	0021-8723
10.2307/2078093	0021-8723
10.2307/207815	0016-7428
10.2307/2078260	0021-8723
10.2307/2078364	0021-8723
10.2307/2078397	0021-8723
10.2307/207840	0016-7428
10.2307/2078470	0021-8723
10.2307/2078477	0021-8723
10.2307/2078795	0021-8723
10.2307/2078796	0021-8723
10.2307/2078912	0021-8723
10.2307/2078931	0021-8723
10.2307/2078989	0021-8723
10.2307/2079119	0021-8723
10.2307/20794613	null
10.2307/2079530	0021-8723
10.2307/2079534	0021-8723
10.2307/2079700	0021-8723
10.2307/207998	0016-7428
10.2307/2080213	0021-8723
10.2307/2080411	0021-8723
10.2307/2080481	0021-8723
10.2307/2080507	0021-8723
10.2307/2080554	0021-8723
10.2307/2080794	0021-8723
10.2307/2080798	0021-8723
10.2307/2080800	0021-8723
10.2307/2080804	0021-8723
10.2307/208104	0016-7428
10.2307/2081171	0021-8723
10.2307/208132	0016-7428
10.2307/2081647	0021-8723
10.2307/2081820	0021-8723
10.2307/2082184	0021-8723
10.2307/2082230	0021-8723
10.2307/2082585	0003-0554
10.2307/2082633	0003-0554
10.2307/2082738	0003-0554
10.2307/2082752	0003-0554
10.2307/2082796	0003-0554
10.2307/2082892	0003-0554
10.2307/2082923	0003-0554
10.2307/2082975	0003-0554
10.2307/2083	0021-8790
10.2307/20832994	null
10.2307/208347	0016-7428
10.2307/2083511	0003-1224
10.2307/2083516	0003-1224
10.2307/20837083	null
10.2307/20837313	null
10.2307/2083825	0003-1224
10.2307/20838797	null
10.2307/2083902	0003-1224
10.2307/20839848	null
10.2307/2084207	0003-1224
10.2307/2084365	0003-1224
10.2307/208447	0016-7428
10.2307/2084520	0003-1224
10.2307/2084615	0003-1224
10.2307/2084686	0003-1224
10.2307/2084871	0003-1224
10.2307/2085128	0003-1224
10.2307/2085277	0003-1224
10.2307/2085446	0003-1224
10.2307/2085448	0003-1224
10.2307/2085466	0003-1224
10.2307/208563	0016-7428
10.2307/2085640	0003-1224
10.2307/2085643	0003-1224
10.2307/208628	0016-7428
10.2307/2086306	0003-1224
10.2307/2086447	0003-1224
10.2307/2086515	0003-1224
10.2307/2086681	0003-1224
10.2307/2086752	0003-1224
10.2307/20868701	null
10.2307/208693	0016-7428
10.2307/2087037	0003-1224
10.2307/208707	0016-7428
10.2307/2087175	0003-1224
10.2307/2087176	0003-1224
10.2307/2087247	0003-1224
10.2307/2087343	0003-1224
10.2307/2087431	0003-1224
10.2307/2087502	0003-1224
10.2307/2087551	0003-1224
10.2307/2087552	0003-1224
10.2307/2088001	0003-1224
10.2307/2088173	0003-1224
10.2307/208818	0016-7428
10.2307/2088325	0003-1224
10.2307/2088328	0003-1224
10.2307/2088418	0003-1224
10.2307/2088422	0003-1224
10.2307/2088565	0003-1224
10.2307/2088566	0003-1224
