10.2307/2479608	0040-9618
10.2307/2479700	0040-9618
10.2307/2479772	0040-9618
10.2307/2479836	0040-9618
10.2307/2479933	0040-9618
10.2307/2480026	0040-9618
10.2307/2480445	0040-9618
10.2307/2480533	0040-9618
10.2307/2480653	0040-9618
10.2307/2480787	0040-9618
10.2307/2481011	0040-9618
10.2307/2481096	0040-9618
10.2307/2481128	0040-9618
10.2307/2481324	0040-9618
10.2307/2481425	0040-9618
10.2307/2481455	0040-9618
10.2307/2481492	0040-9618
10.2307/2481699	0040-9618
10.2307/2481702	0040-9618
10.2307/24817211	null
10.2307/2481765	0040-9618
10.2307/2481882	0040-9618
10.2307/2481965	0040-9618
10.2307/2481996	0040-9618
10.2307/2482203	0040-9618
10.2307/2482410	0040-9618
10.2307/2482414	0040-9618
10.2307/2482671	0040-9618
10.2307/2482783	0040-9618
10.2307/2482924	0040-9618
10.2307/2483023	0040-9618
10.2307/2483074	0040-9618
10.2307/2483163	0040-9618
10.2307/2483234	0040-9618
10.2307/2483417	0040-9618
10.2307/2483447	0040-9618
10.2307/2483507	0040-9618
10.2307/2483524	0040-9618
10.2307/2483544	0040-9618
10.2307/2483563	0040-9618
10.2307/2483646	0040-9618
10.2307/2483737	0040-9618
10.2307/2483901	0040-9618
10.2307/2484099	0040-9618
10.2307/2484104	0040-9618
10.2307/2484142	0040-9618
10.2307/2484204	0040-9618
10.2307/24842334	null
10.2307/2484334	0040-9618
10.2307/2484467	0040-9618
10.2307/2484558	0040-9618
10.2307/2484630	0040-9618
10.2307/2484711	0040-9618
10.2307/2484743	0040-9618
10.2307/2484762	0040-9618
10.2307/2484763	0040-9618
10.2307/2484766	0040-9618
10.2307/2484867	0040-9618
10.2307/2484966	0040-9618
10.2307/2485192	0003-0031
10.2307/2485213	0003-0031
10.2307/2485270	0003-0031
10.2307/2485346	0040-9618
10.2307/2485350	0040-9618
10.2307/2485402	0040-9618
10.2307/2485404	0040-9618
10.2307/24867995	null
10.2307/248680	0276-7783
10.2307/248682	0276-7783
10.2307/24871544	null
10.2307/2489232	null
10.2307/2489401	null
10.2307/2489481	null
10.2307/24898890	null
10.2307/249008	0276-7783
10.2307/2490353	0021-8456
10.2307/2490981	0021-8456
10.2307/2491158	0021-8456
10.2307/2491304	0021-8456
10.2307/2491386	0021-8456
10.2307/2491700	1049-7544
10.2307/2491815	1049-7544
10.2307/2491821	1049-7544
10.2307/2491826	1049-7544
10.2307/2492016	1049-7544
10.2307/2492116	1049-7544
10.2307/2492118	1049-7544
10.2307/24922757	null
10.2307/2492376	0037-6779
10.2307/2492401	0037-6779
10.2307/2492452	0037-6779
10.2307/2492618	0037-6779
10.2307/2492649	0037-6779
10.2307/2492896	0037-6779
10.2307/2492898	0037-6779
10.2307/2492939	0037-6779
10.2307/2493039	0037-6779
10.2307/2493122	0037-6779
10.2307/2493441	0037-6779
10.2307/2493470	0037-6779
10.2307/2493714	0037-6779
10.2307/2493761	0037-6779
10.2307/2493764	0037-6779
10.2307/2493925	0037-6779
10.2307/249403	0276-7783
10.2307/249417	0276-7783
10.2307/2494242	0037-6779
10.2307/2494384	0037-6779
10.2307/2494437	0037-6779
10.2307/2494513	0037-6779
10.2307/2494760	0037-6779
10.2307/2495047	0037-6779
10.2307/2495122	0037-6779
10.2307/2495193	0037-6779
10.2307/2495209	0037-6779
10.2307/2495264	0037-6779
