10.2307/297434	0075-4358
10.2307/2974352	0002-9890
10.2307/297437	0075-4358
10.2307/2974402	0034-6527
10.2307/2974437	0034-6527
10.2307/2974471	0002-9890
10.2307/2974477	0002-9890
10.2307/2974481	0002-9890
10.2307/2974509	0002-9890
10.2307/2974511	0002-9890
10.2307/2974528	0002-9890
10.2307/2974536	0002-9890
10.2307/2974582	0002-9890
10.2307/2974610	0002-9890
10.2307/2974641	0002-9890
10.2307/2974673	0002-9890
10.2307/2974689	0002-9890
10.2307/2974690	0002-9890
10.2307/2974691	0002-9890
10.2307/2974717	0002-9890
10.2307/2974718	0002-9890
10.2307/2974733	0002-9890
10.2307/2974737	0002-9890
10.2307/2974763	0002-9890
10.2307/2974765	0002-9890
10.2307/2974766	0002-9890
10.2307/2974842	0002-9890
10.2307/2974850	0002-9890
10.2307/2974874	0002-9890
10.2307/2974875	0002-9890
10.2307/2974900	0002-9890
10.2307/2974910	0002-9890
10.2307/2974935	0002-9890
10.2307/2974952	0002-9890
10.2307/2974981	0002-9890
10.2307/2974985	0002-9890
10.2307/2975006	0002-9890
10.2307/2975008	0002-9890
10.2307/2975033	0002-9890
10.2307/2975042	0002-9890
10.2307/2975048	0002-9890
10.2307/2975055	0002-9890
10.2307/2975081	0002-9890
10.2307/2975103	0002-9890
10.2307/2975113	0002-9890
10.2307/2975124	0002-9890
10.2307/2975129	0002-9890
10.2307/2975134	0002-9890
10.2307/2975158	0002-9890
10.2307/2975161	0002-9890
10.2307/2975163	0002-9890
10.2307/2975188	0002-9890
10.2307/2975191	0002-9890
10.2307/2975209	0002-9890
10.2307/2975213	0002-9890
10.2307/2975214	0002-9890
10.2307/2975232	0002-9890
10.2307/2975263	0002-9890
10.2307/2975266	0002-9890
10.2307/2975286	0002-9890
10.2307/2975293	0002-9890
10.2307/2975346	0002-9890
10.2307/2975348	0002-9890
10.2307/2975353	0002-9890
10.2307/2975373	0002-9890
10.2307/29754621	null
10.2307/297549	0075-4358
10.2307/297552	0075-4358
10.2307/2975545	0002-9890
10.2307/2975549	0002-9890
10.2307/297555	0075-4358
