10.2307/3647938	0002-9890
10.2307/3648180	null
10.2307/364839	0028-4866
10.2307/3648491	0031-8299
10.2307/3648986	0361-0160
10.2307/3649036	0361-0160
10.2307/364910	0028-4866
10.2307/3649214	0740-1558
10.2307/3649468	0022-362X
10.2307/3649910	0037-6779
10.2307/3650007	0037-6779
10.2307/3650068	0037-6779
10.2307/3650139	0037-6779
10.2307/3650170	0037-6779
10.2307/3650698	0027-4666
10.2307/3650801	0043-3810
10.2307/365104	0028-4866
10.2307/365255	0028-4866
10.2307/365262	0028-4866
10.2307/365290	0028-4866
10.2307/3654165	0022-5037
10.2307/3654261	0022-5037
10.2307/3654412	0009-6407
10.2307/3654501	0009-6407
10.2307/365515	0028-4866
10.2307/3655614	0022-362X
10.2307/365575	0028-4866
10.2307/365637	0028-4866
10.2307/365654	0028-4866
10.2307/3657500	0044-0094
10.2307/365757	0028-4866
10.2307/3657792	0018-2133
10.2307/3657872	0018-2133
10.2307/365843	0028-4866
10.2307/365844	0028-4866
10.2307/365878	0028-4866
10.2307/365896	0028-4866
10.2307/365919	0028-4866
10.2307/3659276	0021-8723
10.2307/3659278	0021-8723
10.2307/3659596	0021-8723
10.2307/3659791	0021-8723
10.2307/3659805	0021-8723
10.2307/3659969	0021-8723
10.2307/3659982	0021-8723
10.2307/366005	0028-4866
10.2307/3660110	0021-8723
10.2307/3660172	0021-8723
10.2307/3660175	0021-8723
10.2307/3660181	0021-8723
10.2307/366032	0028-4866
10.2307/3660324	0021-8723
10.2307/3660347	0021-8723
10.2307/3660495	0021-8723
10.2307/366058	0028-4866
10.2307/3660711	0021-8723
10.2307/366165	0028-4866
10.2307/366183	0028-4866
10.2307/366211	0028-4866
10.2307/366257	0028-4866
10.2307/3662859	0021-8723
10.2307/3662860	0021-8723
10.2307/366325	0028-4866
10.2307/366334	0028-4866
10.2307/366395	0028-4866
10.2307/3665618	0046-3892
10.2307/366615	0028-4866
10.2307/3666223	0046-3892
10.2307/3666378	0046-3892
10.2307/366646	0028-4866
10.2307/3666476	0374-6313
10.2307/3666668	0374-6313
10.2307/3666672	0374-6313
10.2307/3666673	0374-6313
10.2307/3666866	0374-6313
10.2307/3666966	0374-6313
10.2307/3666977	0374-6313
10.2307/3667057	0374-6313
10.2307/3667079	0374-6313
10.2307/3667090	0374-6313
10.2307/3667100	0374-6313
10.2307/3667153	0374-6313
10.2307/3667162	0374-6313
