10.2307/455241	0003-1283
10.2307/455242	0003-1283
10.2307/455246	0003-1283
10.2307/455309	0003-1283
10.2307/455318	0003-1283
10.2307/455336	0003-1283
10.2307/455339	0003-1283
10.2307/455340	0003-1283
10.2307/455358	0003-1283
10.2307/455361	0003-1283
10.2307/455387	0003-1283
10.2307/455431	0003-1283
10.2307/455432	0003-1283
10.2307/455451	0003-1283
10.2307/455461	0003-1283
10.2307/455469	0003-1283
10.2307/455494	0003-1283
10.2307/455525	0003-1283
10.2307/455527	0003-1283
10.2307/455549	0003-1283
10.2307/455550	0003-1283
10.2307/455582	0003-1283
10.2307/455584	0003-1283
10.2307/455590	0003-1283
10.2307/455606	0003-1283
10.2307/455608	0003-1283
10.2307/455617	0003-1283
10.2307/455654	0003-1283
10.2307/455678	0003-1283
10.2307/455692	0003-1283
10.2307/455786	0003-1283
10.2307/455789	0003-1283
10.2307/455802	0003-1283
10.2307/455812	0003-1283
10.2307/455819	0003-1283
10.2307/455820	0003-1283
10.2307/455826	0003-1283
10.2307/455850	0003-1283
10.2307/455899	0003-1283
10.2307/4559008	0094-6214
10.2307/455919	0003-1283
10.2307/455948	0003-1283
10.2307/455950	0003-1283
10.2307/456133	0030-8129
10.2307/456134	0030-8129
10.2307/456497	0030-8129
10.2307/456517	0030-8129
10.2307/456520	0030-8129
10.2307/456649	0030-8129
10.2307/456687	0030-8129
10.2307/456731	0030-8129
10.2307/456793	0030-8129
10.2307/456797	0030-8129
10.2307/456810	0030-8129
10.2307/456840	0030-8129
10.2307/456958	0030-8129
10.2307/457079	0030-8129
10.2307/4572984	0094-6214
10.2307/457347	0030-8129
10.2307/457352	0030-8129
10.2307/457407	0030-8129
10.2307/4574389	0094-6214
10.2307/4574464	0094-6214
10.2307/457782	0030-8129
10.2307/457857	0030-8129
10.2307/457878	0030-8129
10.2307/4579618	0094-6214
10.2307/458021	0030-8129
10.2307/458025	0030-8129
10.2307/4581127	0094-6214
10.2307/458120	0030-8129
10.2307/458230	0030-8129
10.2307/4582435	0094-6214
10.2307/4582746	0094-6214
10.2307/4583104	0094-6214
10.2307/4583155	0094-6214
10.2307/458317	0030-8129
10.2307/4583554	0094-6214
10.2307/4583889	0094-6214
10.2307/458477	0030-8129
10.2307/458509	0030-8129
10.2307/458579	0030-8129
10.2307/458598	0030-8129
10.2307/4586872	0094-6214
10.2307/4586906	0094-6214
10.2307/458731	0030-8129
10.2307/458732	0030-8129
10.2307/458740	0030-8129
10.2307/4587515	0094-6214
10.2307/458763	0030-8129
10.2307/4588064	0094-6214
10.2307/4588305	0094-6214
10.2307/4588736	0094-6214
10.2307/458874	0030-8129
10.2307/4588810	0094-6214
10.2307/4588864	0094-6214
10.2307/458956	0030-8129
10.2307/4589874	0094-6214
10.2307/458991	0030-8129
10.2307/4590204	0094-6214
10.2307/4590256	0094-6214
10.2307/4590423	0094-6214
10.2307/4590442	0094-6214
10.2307/4591234	0094-6214
10.2307/459125	0030-8129
10.2307/4591470	0094-6214
10.2307/4592020	0094-6214
10.2307/459219	0030-8129
10.2307/459233	0030-8129
10.2307/4592454	0094-6214
10.2307/4592691	0094-6214
10.2307/4592771	0094-6214
10.2307/4592985	0094-6214
10.2307/4593174	0094-6214
10.2307/459383	0030-8129
10.2307/4593845	0094-6214
10.2307/4594129	0083-1204
10.2307/4594154	0083-1204
10.2307/4594169	0083-1204
10.2307/4594226	0083-1204
10.2307/4594372	0083-1204
10.2307/4594788	0090-2918
10.2307/4594975	0090-2918
10.2307/459532	0030-8129
10.2307/459577	0030-8129
10.2307/459579	0030-8129
10.2307/459641	0030-8129
10.2307/459643	0030-8129
10.2307/459678	0030-8129
10.2307/459696	0030-8129
10.2307/459720	0030-8129
10.2307/459771	0030-8129
10.2307/459806	0030-8129
10.2307/459873	0030-8129
10.2307/4598910	null
10.2307/4599103	null
10.2307/459933	0030-8129
10.2307/459961	0030-8129
10.2307/4599760	null
10.2307/460041	0030-8129
10.2307/460054	0030-8129
10.2307/4601065	null
10.2307/4601073	null
10.2307/4602214	null
10.2307/460304	0030-8129
10.2307/460317	0030-8129
10.2307/4603641	0393-5949
10.2307/4603663	0393-5949
10.2307/460403	0030-8129
10.2307/460413	0030-8129
10.2307/460476	0030-8129
10.2307/460524	0030-8129
10.2307/460581	0030-8129
10.2307/460620	0030-8129
10.2307/460645	0030-8129
10.2307/460680	0030-8129
10.2307/460742	0030-8129
10.2307/460744	0030-8129
10.2307/460779	0030-8129
10.2307/460821	0030-8129
10.2307/460839	0030-8129
10.2307/460900	0030-8129
10.2307/4609059	0003-5769
10.2307/4609267	0003-5769
10.2307/4609306	0003-5769
10.2307/460952	0030-8129
10.2307/460979	0030-8129
10.2307/4609918	0003-5769
10.2307/4610542	0003-5769
