10.3109/07853890.2010.532811	0785-3890
10.3109/07853890.2010.550932	0785-3890
10.3109/07853890.2011.554425	0785-3890
10.3109/07853890.2013.783993	0785-3890
10.3109/07853890.2013.849383	0785-3890
10.3109/07853890.2013.861158	0785-3890
10.3109/07853890.2014.931103	0785-3890
10.3109/07853890008998825	0785-3890
10.3109/07853890008998831	0785-3890
10.3109/07853890009002026	0785-3890
10.3109/07853890009011758	0785-3890
10.3109/07853890109002087	0785-3890
10.3109/07853890109002092	0785-3890
10.3109/07853890109002095	0785-3890
10.3109/07853898909149202	0785-3890
10.3109/07853898909149929	0785-3890
10.3109/07853899009147239	0785-3890
10.3109/07853899009148930	0785-3890
10.3109/07853899109150520	0785-3890
10.3109/07853899309147316	0785-3890
10.3109/07853899409147884	0785-3890
10.3109/07853899509002457	0785-3890
10.3109/07853899608999091	0785-3890
10.3109/07853899608999110	0785-3890
10.3109/07853899908998785	0785-3890
10.3109/07853899908998787	0785-3890
10.3109/07853899909115982	0785-3890
10.3109/08037051.2010.488052	0803-7051
10.3109/08037051.2013.793891	0803-7051
10.3109/08039481003759219	0803-9488
10.3109/08039488.2010.546881	0803-9488
10.3109/08039488.2011.641586	0803-9488
10.3109/08039488.2012.680910	0803-9488
10.3109/08039488.2012.761401	0803-9488
10.3109/08039488.2014.972975	0803-9488
10.3109/08039488.2015.1005022	0803-9488
10.3109/08039488509101959	0029-1455
10.3109/08039488809103215	0029-1455
10.3109/08039488909100841	0029-1455
10.3109/08820137509057334	0090-0877
10.3109/08820138109093459	0090-0877
10.3109/08820138309050753	0090-0877
10.3109/08820138609052951	0882-0139
10.3109/08820139.2010.532266	0882-0139
10.3109/08820139509060710	0882-0139
10.3109/08820139609059298	0882-0139
10.3109/08820139709022702	0882-0139
10.3109/08820139809070890	0882-0139
10.3109/08820139909060861	0882-0139
10.3109/08820538.2010.488568	0882-0538
10.3109/08820538.2010.488575	0882-0538
10.3109/08820538.2011.577129	0882-0538
10.3109/08820538.2012.711413	0882-0538
10.3109/08820539909056066	0882-0538
10.3109/08820539909061464	0882-0538
10.3109/08830180009088502	0883-0185
10.3109/08830180009088514	0883-0185
10.3109/08830180109045584	0883-0185
10.3109/08830185.2010.529976	0883-0185
10.3109/08830185.2011.644607	0883-0185
10.3109/08830185.2012.737877	0883-0185
10.3109/08830185.2012.740105	0883-0185
10.3109/08830185.2013.823422	0883-0185
10.3109/08830185.2015.1055331	0883-0185
10.3109/08830188909086987	0883-0185
10.3109/08830189009056627	0883-0185
10.3109/08830189509056711	0883-0185
10.3109/08830189509061738	0883-0185
10.3109/08830189809084486	0883-0185
10.3109/08830189909043021	0883-0185
10.3109/08860221003606265	0886-022X
10.3109/08860221003672176	0886-022X
10.3109/08860229309069417	0886-022X
10.3109/08860229809045179	0886-022X
10.3109/0886022X.2010.494333	0886-022X
10.3109/0886022X.2015.1010989	0886-022X
10.3109/08880018.2012.669026	0888-0018
10.3109/08880018.2012.678969	0888-0018
10.3109/08880019309029505	0888-0018
10.3109/08880019809016573	0888-0018
10.3109/08880019809167228	0888-0018
10.3109/08910600903444267	1651-2235
10.3109/08910608909140210	1651-2235
10.3109/08910609309141323	1651-2235
10.3109/08910609509141381	1651-2235
10.3109/08916930108995994	0891-6934
10.3109/08916930109014696	0891-6934
10.3109/08916934.2010.491843	0891-6934
10.3109/08916934.2010.530627	0891-6934
10.3109/08916934.2011.523277	0891-6934
10.3109/08916934.2011.571223	0891-6934
10.3109/08916934.2016.1167192	0891-6934
10.3109/08916938909019961	0891-6934
10.3109/08916939309004839	0891-6934
10.3109/08916939309079237	0891-6934
10.3109/08916939508995297	0891-6934
10.3109/08916939508995300	0891-6934
10.3109/08916939608995359	0891-6934
10.3109/08916939709003852	0891-6934
10.3109/08916939808993841	0891-6934
10.3109/08916939908994748	0891-6934
10.3109/08916939908995970	0891-6934
10.3109/08923970902814129	0892-3973
10.3109/08923973.2013.780078	0892-3973
10.3109/08923973.2014.890626	0892-3973
10.3109/08923973.2015.1082584	0892-3973
10.3109/08923979809038547	0892-3973
10.3109/08923979909007117	0892-3973
10.3109/08923979909007136	0892-3973
10.3109/08941939.2010.484321	0894-1939
10.3109/08941939.2010.542272	0894-1939
10.3109/08941939.2012.664099	0894-1939
10.3109/08941939.2015.1054747	0894-1939
10.3109/08941939.2015.1061826	0894-1939
10.3109/08958370902748542	0895-8378
10.3109/08958370903367359	0895-8378
10.3109/08958378.2011.559603	0895-8378
10.3109/08958378.2013.806613	0895-8378
10.3109/08958378.2014.881940	0895-8378
10.3109/08958378.2014.936572	0895-8378
10.3109/08977190009003234	0897-7194
10.3109/08977190109001086	0897-7194
10.3109/08977190109029118	0897-7194
10.3109/08977194.2012.660936	0897-7194
10.3109/08977199109000275	0897-7194
10.3109/08977199109043910	0897-7194
10.3109/08977199209046924	0897-7194
10.3109/08977199209046928	0897-7194
10.3109/08977199308991582	0897-7194
10.3109/08977199308991586	0897-7194
10.3109/08977199409001055	0897-7194
10.3109/08977199509028956	0897-7194
10.3109/08977199509028968	0897-7194
10.3109/08977199709021514	0897-7194
10.3109/08977199809017482	0897-7194
10.3109/08982109509039910	0898-2104
10.3109/08982109909024786	0898-2104
10.3109/08990229509063140	0899-0220
10.3109/09273948.2010.524344	0927-3948
10.3109/09273948.2010.542269	0927-3948
10.3109/09273948.2012.681830	0927-3948
10.3109/09273948.2014.939530	0927-3948
10.3109/09273971003758388	0927-3972
10.3109/09273972.2011.600418	0927-3972
10.3109/09273972.2011.600420	0927-3972
10.3109/09273972.2011.600421	0927-3972
10.3109/09273972.2012.709577	0927-3972
10.3109/09273972.2012.735524	0927-3972
10.3109/09273972.2014.907815	0927-3972
10.3109/09273979309087719	0927-3972
10.3109/09513590.2010.490609	0951-3590
10.3109/09513590.2010.495437	0951-3590
10.3109/09513590.2010.501885	0951-3590
10.3109/09513590.2010.507826	0951-3590
10.3109/09513590.2010.526664	0951-3590
10.3109/09513590.2010.538099	0951-3590
10.3109/09513590.2011.558953	0951-3590
10.3109/09513590.2011.650660	0951-3590
10.3109/09513590.2012.637341	0951-3590
10.3109/09513590.2012.638754	0951-3590
10.3109/09513590.2012.651932	0951-3590
10.3109/09513590.2012.662546	0951-3590
10.3109/09513590.2012.662547	0951-3590
10.3109/09513590.2012.702875	0951-3590
10.3109/09513590.2012.705382	0951-3590
10.3109/09513590.2013.774591	0951-3590
10.3109/09513590.2013.813468	0951-3590
10.3109/09513590.2013.871517	0951-3590
10.3109/09513590.2015.1006618	0951-3590
10.3109/09513590.2015.1054802	0951-3590
10.3109/09513590.2015.1063604	0951-3590
10.3109/09513590.2016.1153059	0951-3590
10.3109/09513590009167685	0951-3590
10.3109/09513590903004126	0951-3590
10.3109/09513590903159649	0951-3590
10.3109/09513591003767948	0951-3590
10.3109/09513598709023610	0951-3590
10.3109/09513599309152499	0951-3590
10.3109/09513599509160199	0951-3590
10.3109/09513599609012316	0951-3590
10.3109/09513599609045658	0951-3590
10.3109/09513599609097901	0951-3590
10.3109/09513599809024960	0951-3590
10.3109/09513599909167552	0951-3590
10.3109/09513599909167574	0951-3590
10.3109/09513599909167590	0951-3590
10.3109/09537101003615402	0953-7104
10.3109/09537104.2010.518324	0953-7104
10.3109/09537104.2010.544343	0953-7104
10.3109/09537104.2011.560305	0953-7104
10.3109/09537104.2011.624211	0953-7104
10.3109/09537104.2011.632032	0953-7104
10.3109/09537104.2013.852658	0953-7104
10.3109/09537104.2015.1010441	0953-7104
10.3109/09537104.2015.1037825	0953-7104
10.3109/09537104.2015.1042448	0953-7104
10.3109/09537104.2015.1042449	0953-7104
10.3109/09537104.2015.1043880	0953-7104
10.3109/09537104.2015.1046042	0953-7104
10.3109/09537109609023591	0953-7104
10.3109/09540261.2010.514601	0954-0261
10.3109/09540261.2011.599315	0954-0261
10.3109/09540261.2011.621414	0954-0261
10.3109/09540261.2011.633501	0954-0261
10.3109/09540261.2012.656305	0954-0261
10.3109/09540261.2012.694857	0954-0261
10.3109/09540261.2012.726923	0954-0261
10.3109/09540261.2015.1015503	0954-0261
10.3109/09540261.2015.1064875	0954-0261
10.3109/09540261.2015.1083949	0954-0261
10.3109/09540261.2015.1086320	0954-0261
10.3109/09540261003730372	0954-0261
10.3109/09540269009028274	0954-0261
10.3109/09540269509028323	0954-0261
10.3109/09546630903401496	0954-6634
10.3109/09546631003681094	0954-6634
10.3109/09546631003801619	0954-6634
10.3109/09546634.2010.544709	0954-6634
10.3109/09546634.2011.607794	0954-6634
10.3109/09546634.2011.641937	0954-6634
10.3109/09546634.2012.687089	0954-6634
10.3109/09546634.2013.813010	0954-6634
10.3109/09546634.2013.813011	0954-6634
10.3109/09546634.2013.832134	0954-6634
10.3109/09546634.2013.848258	0954-6634
10.3109/09546634.2013.865009	0954-6634
10.3109/09546634.2014.915002	0954-6634
10.3109/09546634.2015.1083935	0954-6634
10.3109/09546639509080586	0954-6634
10.3109/09546639509080587	0954-6634
10.3109/09546639909055910	0954-6634
10.3109/09553002.2010.545862	0955-3002
10.3109/09553002.2011.622033	0955-3002
10.3109/09553002.2012.699698	0955-3002
10.3109/09553002.2014.916841	0955-3002
10.3109/09553002.2016.1135263	0955-3002
10.3109/09553002.2016.1135264	0955-3002
10.3109/09593985.2010.493192	0959-3985
10.3109/09637480903193049	0963-7486
10.3109/09637480903257711	0963-7486
10.3109/09637480903292601	0963-7486
10.3109/09637481003591608	0963-7486
10.3109/09637481003694576	0963-7486
10.3109/09637481003702114	0963-7486
10.3109/09637484709143130	0963-7486
10.3109/09637486.2010.503187	0963-7486
10.3109/09637486.2010.513682	0963-7486
10.3109/09637486.2010.515566	0963-7486
10.3109/09637486.2010.542408	0963-7486
10.3109/09637486.2011.582460	0963-7486
10.3109/09637486.2011.598849	0963-7486
10.3109/09637486.2011.607801	0963-7486
10.3109/09637486.2011.627846	0963-7486
10.3109/09637486.2012.683779	0963-7486
10.3109/09637486.2012.710054	0963-7486
10.3109/09637486.2013.798268	0963-7486
10.3109/09637486.2013.845652	0963-7486
10.3109/09637486.2013.860586	0963-7486
10.3109/09637486.2014.880672	0963-7486
10.3109/09637486.2014.931360	0963-7486
10.3109/09637486.2014.937801	0963-7486
10.3109/09637486.2014.950207	0963-7486
10.3109/09637486.2014.959897	0963-7486
10.3109/09637486.2015.1077790	0963-7486
10.3109/09637487809143898	0963-7486
10.3109/09637489509012538	0963-7486
10.3109/09638230903469269	0963-8237
10.3109/09638230903469285	0963-8237
10.3109/09638237.2011.562262	0963-8237
10.3109/09638237.2012.694504	0963-8237
