10.4000/framespa.475	1760-4761
10.4000/gc.2124	1165-0354
10.4000/geocarrefour.1295	1627-4873
10.4000/geocarrefour.7213	1627-4873
10.4000/geomorphologie.10300	1266-5304
10.4000/geomorphologie.7865	1266-5304
10.4000/geomorphologie.902	1266-5304
10.4000/geomorphologie.921	1266-5304
10.4000/histoire-cnrs.1778	1298-9800
10.4000/histoire-education.1837	0221-6280
10.4000/hleno.148	2263-0945
10.4000/insaniyat.13001	1111-2050
10.4000/insaniyat.5340	1111-2050
10.4000/insaniyat.7910	1111-2050
10.4000/insaniyat.8257	1111-2050
10.4000/insitu.14255	1630-7305
10.4000/insitu.2236	1630-7305
10.4000/insitu.865	1630-7305
10.4000/itineraires.2221	2100-1340
10.4000/jso.1404	0300-953X
10.4000/jso.5813	0300-953X
10.4000/jso.6371	0300-953X
10.4000/kernos.1925	0776-3824
10.4000/kernos.430	0776-3824
10.4000/lha.130	1627-4970
10.4000/lha.194	1627-4970
10.4000/lha.478	1627-4970
10.4000/lhomme.24352	0439-4216
10.4000/lisa.1140	1762-6153
10.4000/lisa.2487	1762-6153
10.4000/lisa.2546	1762-6153
10.4000/lisa.2602	1762-6153
10.4000/lisa.2858	1762-6153
10.4000/lisa.3504	null
10.4000/lisa.6364	1762-6153
10.4000/mediterranee.152	0025-8296
10.4000/mediterranee.3190	0025-8296
10.4000/mediterranee.3376	0025-8296
10.4000/mediterranee.5416	0025-8296
10.4000/mediterranee.5441	0025-8296
10.4000/mediterranee.5447	0025-8296
10.4000/mefra.1322	0223-5102
10.4000/mefra.2059	0223-5102
10.4000/mimmoc.1864	1951-6789
10.4000/monderusse.22	1252-6576
10.4000/monderusse.2600	1252-6576
10.4000/monderusse.39	1252-6576
10.4000/monderusse.46	1252-6576
10.4000/msh.3413	0987-6936
10.4000/netcom.2266	0987-6014
10.4000/norois.3083	0029-182X
10.4000/norois.4549	0029-182X
10.4000/norois.5195	0029-182X
10.4000/nuevomundo.1387	1626-0252
10.4000/nuevomundo.3240	1626-0252
10.4000/nuevomundo.437	1626-0252
10.4000/oceanindien.1379	0246-0092
10.4000/oceanindien.1391	0246-0092
10.4000/oceanindien.1401	0246-0092
10.4000/oceanindien.574	0246-0092
10.4000/orda.1646	2273-0095
10.4000/perspective.6004	1777-7852
10.4000/plc.246	1279-8657
10.4000/plc.298	1279-8657
10.4000/pontourbe.586	1981-3341
10.4000/primatologie.2182	2077-3757
10.4000/quaderni.569	0987-1381
10.4000/quaternaire.3362	1142-2904
10.4000/remi.2495	0765-0752
10.4000/remmm.244	0997-1327
10.4000/remmm.274	0997-1327
10.4000/rfsic.630	2263-0856
10.4000/rga.1481	0035-1121
10.4000/rga.630	0035-1121
