10.4137/BECB.S34255	1179-5972
10.4137/BTRI.S12331	1179-061X
10.4137/CCRep.S17455	1179-5476
10.4137/CCRep.S40196	1179-5476
10.4137/CGast.S13200	1179-5522
10.4137/CIN.S13783	1176-9351
10.4137/CIN.S2846	1176-9351
10.4137/CIn.s17285	1176-9351
10.4137/CMAMD.S37477	1179-5441
10.4137/CMAMD.S39160	1179-5441
10.4137/CMBD.S16952	1179-545X
10.4137/CMC.S15716	1179-5468
10.4137/CMED.S9494	1179-5514
10.4137/CMENT.S17980	1179-5506
10.4137/CMO.S11670	1179-5549
10.4137/CMO.S13671	1179-5549
10.4137/CMO.S5074	1179-5549
10.4137/CMPed.S16962	1179-5565
10.4137/CMPed.S40070	1179-5565
10.4137/CMPed.S8304	1179-5565
10.4137/CMRH.S10930	1179-5581
10.4137/CMRT.S1637	1179-2558
10.4137/CPath.S39930	1179-5557
10.4137/CTTT.S11249	1179-0687
10.4137/EBO.S10048	1176-9343
10.4137/EBO.S33489	1176-9343
10.4137/EBO.S5875	1176-9343
10.4137/EBO.S7084	1176-9343
10.4137/EHI.S31765	1178-6302
10.4137/EHI.S5662	1178-6302
10.4137/GEI.S11490	1178-6310
10.4137/GRSB.S29411	1177-6250
10.4137/HPD.S19569	1179-5700
10.4137/IJTR.S18231	1178-6469
10.4137/IJTR.S33385	1178-6469
10.4137/IJTR.S8158	1178-6469
10.4137/JCD.S18368	1179-0660
10.4137/JCNSD.S13540	1179-5735
10.4137/JCNSD.S13793	1179-5735
10.4137/JCNSD.S4138	1179-5735
10.4137/JCNSD.S4888	1179-5735
10.4137/JCNSD.S5729	1179-5735
10.4137/JCNSD.S9381	1179-5735
10.4137/JEN.S11267	1179-0695
10.4137/JEN.S25469	1179-0695
10.4137/MBI.S10878	1178-6361
10.4137/MBI.S10880	1178-6361
10.4137/NMI.S32910	1178-6388
10.4137/NMI.S39764	1178-6388
10.4137/OED.S11142	1179-1721
10.4137/OED.S2821	1179-1721
10.4137/OED.S32004	1179-1721
10.4137/PRI.S6329	1178-6418
10.4137/RRT.S9429	1178-1238
10.4137/SART.S10389	1178-2218
10.4137/SART.S13019	1178-2218
10.4137/SART.S23544	1178-2218
10.4137/SART.S25081	1178-2218
10.4137/SART.S9247	1178-2218
10.4137/VRT.S31744	1178-122X
10.4137/bbi.s28902	1177-9322
10.4137/bii.s37977	1178-2226
10.4137/ccrep.s40196	1179-5476
10.4138/1047	1718-7885
10.4138/1982	1718-7885
10.4138/5933	1718-7885
10.4138/atlgeol.2011.003	1718-7885
10.4138/atlgeol.2014.011	1718-7885
10.4138/atlgeol.2016.010	1718-7885
10.4138/atlgeol.2016.013	1718-7885
10.4138/atlgeol.2017.002	1718-7885
10.4140/TCP.n.2008.141	0888-5109
10.4140/TCP.n.2009.100	0888-5109
10.4140/TCP.n.2009.366	0888-5109
10.4141/A01-099	0008-3984
10.4141/A02-001	0008-3984
10.4141/A02-021	0008-3984
10.4141/A02-111	0008-3984
10.4141/A03-085	0008-3984
10.4141/A04-041	0008-3984
10.4141/CJAS07081	0008-3984
10.4141/CJPS09110	0008-4220
10.4141/CJPS10073	0008-4220
10.4141/P00-007	0008-4220
10.4141/P00-074l	null
10.4141/P01-010	0008-4220
10.4141/P01-034	0008-4220
10.4141/P03-056	0008-4220
10.4141/P03-182	0008-4220
10.4141/P04-120	0008-4220
10.4141/P05-193	0008-4220
10.4141/P05-193"/>	null
10.4141/P05-193">{{cite	null
10.4141/P97-114	0008-4220
10.4141/P98-063	0008-4220
10.4141/P98-083	0008-4220
10.4141/S04-003	0008-4271
10.4141/S04-004	0008-4271
10.4141/S96-084	0008-4271
10.4141/a03-109	0008-3984
10.4141/a05-049	0008-3984
10.4141/cjps-2014-365	0008-4220
10.4141/cjps57-038	0008-4220
10.4141/cjps65-103	0008-4220
10.4141/cjps74-017	0008-4220
10.4141/cjps75-040	0008-4220
10.4141/cjps75-163	0008-4220
10.4141/cjps77-053	0008-4220
10.4141/cjps78-062	0008-4220
10.4141/cjps78-155	0008-4220
10.4141/cjps82-067	0008-4220
10.4141/cjps85-018	0008-4220
10.4141/cjps86-052	0008-4220
10.4141/cjps86-091	0008-4220
10.4141/cjps95-036	0008-4220
10.4141/cjss2011-100	0008-4271
10.4141/cjss2012-046	0008-4271
10.4141/cjss60-023	0008-4271
10.4141/cjss60-027	0008-4271
10.4141/cjss61-024	0008-4271
10.4141/cjss65-045	0008-4271
10.4141/cjss68-037	0008-4271
10.4141/cjss76-068	0008-4271
10.4141/cjss78-049	0008-4271
10.4141/cjss93-043	0008-4271
10.4141/news.2014.10.10.275	null
10.4141/p00-007	0008-4220
10.4141/p03-056	0008-4220
10.4141/p03-182	0008-4220
10.4141/p04-114	0008-4220
10.4141/p98-063	0008-4220
10.4141/s00-075	0008-4271
10.4142/jvs.2006.7.1.93	1229-845X
10.4142/jvs.2006.7.1.97	1229-845X
10.4142/jvs.2006.7.2.199	1229-845X
10.4142/jvs.2007.8.4.341	1229-845X
10.4142/jvs.2008.9.2.211	1229-845X
10.4142/jvs.2009.10.1.81	1229-845X
10.4142/jvs.2009.10.4.273	1229-845X
10.4142/jvs.2013.14.4.421	1229-845X
10.4143/crt.2005.37.2.98	1598-2998
10.4143/crt.2008.40.4.190	1598-2998
10.4143/crt.2010.42.3.151	1598-2998
10.4143/crt.2014.009	1598-2998
10.4147/HTC-081000	1973-9621
10.4148/1944-9771.1079	1944-9771
10.4148/2334-4415.1051	2334-4415
10.4148/2334-4415.1271	2334-4415
10.4148/2334-4415.1545	2334-4415
10.4148/2334-4415.1636	2334-4415
10.4148/2334-4415.1808	2334-4415
10.4148/2334-4415.1909	2334-4415
10.4148/2378-5853.1272	2378-5853
10.4148/2378-5853.1276	2378-5853
10.4148/2475-7799.1022	2475-7799
10.4148/2475-7799.1043	2475-7799
10.4148/2475-7799.1082	2475-7799
10.4148/2475-7799.1099	2475-7799
10.4148/biyclc.v7i0.1775	1944-3676
10.4148/jft.v1i1.257	1944-9771
10.4148/ojrrp.v4i1.59	1936-0487
10.4149/BLL_2014_101	1336-0345
10.4149/av_2009_02_73	1336-2305
10.4149/av_2010_01_75	1336-2305
10.4149/av_2015_02_179	1336-2305
10.4149/bll_2015_060	1336-0345
10.4149/bll_2016_066	1336-0345
10.4149/gpb_2010_01_3	0231-5882
10.4149/gpb_2011_SI1_13	1338-4325
10.4149/gpb_2015039	1338-4325
10.4149/neo_2009_02_119	0028-2685
10.4149/neo_2010_02_123	0028-2685
10.4149/neo_2015_101	1338-4317
10.4153/CJM-1949-009-2	1496-4279
10.4153/CJM-1949-021-5	1496-4279
10.4153/CJM-1949-033-6	1496-4279
10.4153/CJM-1950-012-1	1496-4279
10.4153/CJM-1950-035-6	1496-4279
10.4153/CJM-1950-036-3	1496-4279
10.4153/CJM-1951-005-8	1496-4279
10.4153/CJM-1951-026-2	1496-4279
10.4153/CJM-1951-038-3	1496-4279
10.4153/CJM-1951-045-8	1496-4279
10.4153/CJM-1952-005-3	1496-4279
10.4153/CJM-1953-001-3	1496-4279
10.4153/CJM-1953-017-4	1496-4279
10.4153/CJM-1953-043-4	1496-4279
10.4153/CJM-1954-020-5	1496-4279
10.4153/CJM-1954-028-3	1496-4279
10.4153/CJM-1954-029-0	1496-4279
10.4153/CJM-1954-031-9	1496-4279
10.4153/CJM-1954-033-3	1496-4279
10.4153/CJM-1954-037-2	1496-4279
10.4153/CJM-1954-038-x	1496-4279
10.4153/CJM-1955-001-4	1496-4279
10.4153/CJM-1955-003-7	1496-4279
10.4153/CJM-1955-010-4	1496-4279
10.4153/CJM-1955-021-8	1496-4279
10.4153/CJM-1955-022-5	1496-4279
10.4153/CJM-1955-045-x	1496-4279
10.4153/CJM-1956-034-1	1496-4279
10.4153/CJM-1956-045-5	1496-4279
10.4153/CJM-1956-063-3	1496-4279
10.4153/CJM-1957-021-9	1496-4279
10.4153/CJM-1957-041-1	1496-4279
10.4153/CJM-1957-045-0	1496-4279
10.4153/CJM-1957-060-7	1496-4279
10.4153/CJM-1958-023-9	1496-4279
10.4153/CJM-1958-024-6	1496-4279
10.4153/CJM-1958-029-2	1496-4279
10.4153/CJM-1958-046-3	1496-4279
10.4153/CJM-1958-047-0	1496-4279
10.4153/CJM-1958-052-0	1496-4279
10.4153/CJM-1959-003-9	1496-4279
10.4153/CJM-1959-013-8	1496-4279
10.4153/CJM-1959-057-2	1496-4279
10.4153/CJM-1960-016-5	1496-4279
10.4153/CJM-1960-045-7	1496-4279
10.4153/CJM-1961-015-3	1496-4279
10.4153/CJM-1961-029-9	1496-4279
10.4153/CJM-1961-059-8	1496-4279
10.4153/CJM-1962-019-8	1496-4279
10.4153/CJM-1963-006-x	1496-4279
10.4153/CJM-1963-041-4	1496-4279
10.4153/CJM-1963-051-0	1496-4279
10.4153/CJM-1963-058-1	1496-4279
10.4153/CJM-1964-049-8	1496-4279
10.4153/CJM-1964-055-5	1496-4279
10.4153/CJM-1964-065-1	1496-4279
10.4153/CJM-1964-078-x	1496-4279
10.4153/CJM-1965-034-0	1496-4279
10.4153/CJM-1965-035-8	1496-4279
10.4153/CJM-1965-045-4	1496-4279
10.4153/CJM-1965-071-4	1496-4279
10.4153/CJM-1966-014-3	1496-4279
10.4153/CJM-1966-087-x	1496-4279
10.4153/CJM-1966-129-2	1496-4279
10.4153/CJM-1967-017-0	1496-4279
10.4153/CJM-1967-101-8	1496-4279
10.4153/CJM-1970-067-9	1496-4279
10.4153/CJM-1970-125-1	1496-4279
10.4153/CJM-1973-030-5	1496-4279
10.4153/CJM-1973-060-4	1496-4279
10.4153/CJM-1975-104-6	1496-4279
10.4153/CJM-1975-127-5	1496-4279
10.4153/CJM-1977-069-1	1496-4279
10.4153/CJM-1979-043-6	1496-4279
10.4153/CJM-1979-069-2	1496-4279
10.4153/CJM-1979-070-3	1496-4279
10.4153/CJM-1979-108-0	1496-4279
10.4153/CJM-1980-076-2	1496-4279
10.4153/CJM-1980-079-4	1496-4279
10.4153/CJM-1981-046-9	1496-4279
10.4153/CJM-1981-076-8	1496-4279
10.4153/CJM-1981-080-0	1496-4279
10.4153/CJM-1982-067-4	1496-4279
10.4153/CJM-1982-095-9	1496-4279
10.4153/CJM-1983-059-8	1496-4279
10.4153/CJM-1987-053-6	1496-4279
10.4153/CJM-1991-049-5	1496-4279
10.4153/CJM-1991-069-8	1496-4279
10.4153/CJM-1992-052-6	1496-4279
10.4153/CJM-1999-011-1	1496-4279
10.4153/CJM-1999-060-6	1496-4279
10.4153/CJM-2004-004-5	1496-4279
10.4153/CJM-2004-013-8	1496-4279
10.4153/CMB-1960-034-5	1496-4287
10.4153/CMB-1961-013-0	1496-4287
10.4153/CMB-1961-018-7	1496-4287
10.4153/CMB-1964-039-3	1496-4287
10.4153/CMB-1966-036-2	1496-4287
10.4153/CMB-1966-038-7	1496-4287
10.4153/CMB-1967-046-4	1496-4287
10.4153/CMB-1968-002-3	1496-4287
10.4153/CMB-1968-006-9	1496-4287
10.4153/CMB-1968-022-8	1496-4287
10.4153/CMB-1968-047-7	1496-4287
10.4153/CMB-1968-062-3	1496-4287
10.4153/CMB-1968-063-0	1496-4287
10.4153/CMB-1969-107-x	1496-4287
10.4153/CMB-1971-007-1	1496-4287
10.4153/CMB-1972-012-3	1496-4287
10.4153/CMB-1972-035-8	1496-4287
10.4153/CMB-1973-008-9	1496-4287
10.4153/CMB-1973-077-3	1496-4287
10.4153/CMB-1974-064-0	1496-4287
10.4153/CMB-1974-066-5	1496-4287
10.4153/CMB-1975-064-6	1496-4287
10.4153/CMB-1976-071-6	1496-4287
10.4153/CMB-1980-009-3	1496-4287
10.4153/CMB-1982-053-0	1496-4287
10.4153/CMB-1983-077-8	1496-4287
10.4153/CMB-1985-016-3	1496-4287
10.4153/CMB-1988-020-2	1496-4287
10.4153/CMB-1990-059-8	1496-4287
10.4153/CMB-1991-079-6	1496-4287
10.4153/CMB-1992-037-1	1496-4287
10.4153/CMB-1997-019-0	1496-4287
10.4153/CMB-1999-050-1	1496-4287
10.4153/CMB-2000-047-6	1496-4287
10.4153/CMB-2001-020-8	1496-4287
10.4153/CMB-2002-049-1	1496-4287
10.4153/CMB-2003-029-4	1496-4287
10.4153/CMB-2007-028-9	1496-4287
10.4153/CMB-2008-060-9	1496-4287
10.4153/CMB-2009-054-5	1496-4287
10.4153/cjm-1949-009-2	1496-4279
10.4153/cjm-1949-031-1	1496-4279
10.4153/cjm-1950-009-8	1496-4279
10.4153/cjm-1951-012-7	1496-4279
10.4153/cjm-1953-055-5	1496-4279
10.4153/cjm-1956-034-1	1496-4279
10.4153/cjm-1956-045-5	1496-4279
10.4153/cjm-1957-060-7	1496-4279
10.4153/cjm-1958-045-6	1496-4279
10.4153/cjm-1958-052-0	1496-4279
10.4153/cjm-1960-045-7	1496-4279
10.4153/cjm-1960-049-6	1496-4279
10.4153/cjm-1963-069-5	1496-4279
10.4153/cjm-1964-023-1	1496-4279
10.4153/cjm-1965-044-7	1496-4279
10.4153/cjm-1966-014-3	1496-4279
10.4153/cjm-1966-021-8	1496-4279
10.4153/cjm-1967-070-8	1496-4279
10.4153/cjm-1968-107-2	1496-4279
10.4153/cjm-1968-148-x	1496-4279
10.4153/cjm-1971-102-8	1496-4279
10.4153/cjm-1972-063-0	1496-4279
10.4153/cjm-1976-090-x	1496-4279
10.4153/cjm-1976-123-8	1496-4279
10.4153/cjm-1978-039-8	1496-4279
10.4153/cjm-1980-091-9	1496-4279
10.4153/cjm-1982-020-8	1496-4279
10.4153/cjm-1983-059-8	1496-4279
10.4153/cjm-1989-049-4	1496-4279
10.4153/cjm-1992-060-8	1496-4279
10.4153/cjm-1995-061-1	1496-4279
10.4153/cjm-1999-054-9	1496-4279
10.4153/cjm-2002-016-9	1496-4279
10.4153/cjm-2009-007-4	1496-4279
10.4153/cmb-1960-006-5	1496-4287
10.4153/cmb-1963-001-x	1496-4287
10.4153/cmb-1964-038-6	1496-4287
10.4153/cmb-1965-044-9	1496-4287
10.4153/cmb-1968-006-9	1496-4287
10.4153/cmb-1971-007-1	1496-4287
10.4153/cmb-1973-008-9	1496-4287
10.4153/cmb-1974-090-0	1496-4287
10.4153/cmb-1976-064-1	1496-4287
10.4153/cmb-1981-069-5	1496-4287
10.4153/cmb-1987-064-1	1496-4287
10.4153/cmb-1995-002-0	1496-4287
10.4153/cmb-2007-030-7	1496-4287
10.4154/gc.2009.07	1330-030X
10.4154/gc.2015.11	1330-030X
10.4154/gc.2015.14	1330-030X
10.4154/gc.2015.15	1330-030X
10.4154/gc.2016.17	1330-030X
10.4154/gc.2017.15	1330-030X
10.4155/BFS.09.20	1759-7269
10.4155/BIO.12.202	1757-6180
10.4155/BIO.13.36	1757-6180
10.4155/CMT.10.39	1758-3004
10.4155/bfs.09.20	1759-7269
10.4155/bio-2016-0045	1757-6180
10.4155/bio.09.108	1757-6180
10.4155/bio.09.24	1757-6180
10.4155/bio.09.3	1757-6180
